action_index,Server_J,Server_K,R_req,Rho,Mean_Pair_Reliability,Mean_Latency,Mean_Reward,Reliability_Violation_Rate,Selection_Feasibility_Rate,Oracle_Selection_Frequency,In_Optimal_Set_Frequency,Pareto_Front
22,5,6,0.9,0.19152131632955052,0.99974899387309,1.6269422283236772,67.13700534130544,0.0,1.0,0.0,0.709,True
22,5,6,0.99,0.19152131632955052,0.99974899387309,1.6269422283236772,67.13700534130544,0.0,1.0,0.0,0.709,True
22,5,6,0.999,0.19152131632955052,0.99974899387309,1.6269422283236772,64.44503575482264,0.039000000000000035,1.0,0.004,0.684,True
22,5,6,0.9999,0.19152131632955052,0.99974899387309,1.6269422283236772,29.079669453278473,0.522,1.0,0.076,0.341,True
23,5,7,0.9,0.3245189745730765,0.9997898526640456,1.8812356753573587,60.297294689243785,0.0,1.0,0.0,0.119,False
23,5,7,0.99,0.3245189745730765,0.9997898526640456,1.8812356753573587,60.297294689243785,0.0,1.0,0.0,0.119,False
23,5,7,0.999,0.3245189745730765,0.9997898526640456,1.8812356753573587,57.73368706813541,0.040000000000000036,1.0,0.0,0.118,False
23,5,7,0.9999,0.3245189745730765,0.9997898526640456,1.8812356753573587,34.80080595565562,0.376,1.0,0.012,0.088,False
24,5,8,0.9,0.07217003908143543,0.9998735647725716,1.8360903267250035,61.46590305313812,0.0,1.0,0.0,0.161,True
24,5,8,0.99,0.07217003908143543,0.9998735647725716,1.8360903267250035,61.46590305313812,0.0,1.0,0.0,0.161,True
24,5,8,0.999,0.07217003908143543,0.9998735647725716,1.8360903267250035,60.777539332246704,0.010000000000000009,1.0,0.0,0.158,True
24,5,8,0.9999,0.07217003908143543,0.9998735647725716,1.8360903267250035,43.442394875793994,0.269,1.0,0.012,0.117,True
25,6,7,0.9,0.3499394055117266,0.999887446886476,1.6148673327512735,67.90215706088509,0.0,1.0,0.0,0.828,True
25,6,7,0.99,0.3499394055117266,0.999887446886476,1.6148673327512735,67.90215706088509,0.0,1.0,0.0,0.828,True
25,6,7,0.999,0.3499394055117266,0.999887446886476,1.6148673327512735,66.91471836833301,0.015000000000000013,1.0,0.005,0.818,True
25,6,7,0.9999,0.3499394055117266,0.999887446886476,1.6148673327512735,48.757946396126485,0.271,1.0,0.144,0.635,True
26,6,8,0.9,0.3540107070824934,0.9999322362343956,1.6014367443357993,68.23624231083572,0.0,1.0,0.0,0.87,True
26,6,8,0.99,0.3540107070824934,0.9999322362343956,1.6014367443357993,68.23624231083572,0.0,1.0,0.0,0.87,True
26,6,8,0.999,0.3540107070824934,0.9999322362343956,1.6014367443357993,68.23624231083572,0.0,1.0,0.002,0.87,True
26,6,8,0.9999,0.3540107070824934,0.9999322362343956,1.6014367443357993,55.38968495054005,0.18100000000000005,1.0,0.123,0.724,True
27,7,8,0.9,0.12671319237019502,0.9999546468326327,3.2576808258002496,45.56765786517548,0.0,1.0,0.0,0.28,True
27,7,8,0.99,0.12671319237019502,0.9999546468326327,3.2576808258002496,45.56765786517548,0.0,1.0,0.0,0.28,True
27,7,8,0.999,0.12671319237019502,0.9999546468326327,3.2576808258002496,45.56765786517548,0.0,1.0,0.0,0.28,True
27,7,8,0.9999,0.12671319237019502,0.9999546468326327,3.2576808258002496,38.88387264115394,0.118,1.0,0.03,0.255,True
