state_id,R_req,second_distinct_gap,all_actions_tied,exact_optimal_set_size
trial00_episode12_task100,0.9999,5.764162676948388,False,1
trial00_episode12_task140,0.9,2.460110196914897,False,7
trial00_episode12_task140,0.99,2.460110196914897,False,7
trial00_episode12_task140,0.999,2.460110196914897,False,6
trial00_episode12_task140,0.9999,0.8923568480365738,False,1
trial00_episode12_task180,0.9,5.213105259345419,False,7
trial00_episode12_task180,0.99,5.213105259345419,False,7
trial00_episode12_task180,0.999,5.213105259345419,False,6
trial00_episode12_task180,0.9999,0.8910772402090199,False,1
trial00_episode13_task020,0.9,5.6994351231851965,False,7
trial00_episode13_task020,0.99,5.6994351231851965,False,7
trial00_episode13_task020,0.999,5.6994351231851965,False,7
trial00_episode13_task020,0.9999,5.6994351231851965,False,4
trial00_episode13_task060,0.9,6.244627539838035,False,7
trial00_episode13_task060,0.99,6.244627539838035,False,7
trial00_episode13_task060,0.999,6.244627539838035,False,7
trial00_episode13_task060,0.9999,6.244627539838035,False,2
trial00_episode13_task100,0.9,5.764162676948388,False,7
trial00_episode13_task100,0.99,5.764162676948388,False,7
trial00_episode13_task100,0.999,5.764162676948388,False,7
trial00_episode13_task100,0.9999,5.764162676948388,False,5
trial00_episode13_task140,0.9,0.9188060871768542,False,7
trial00_episode13_task140,0.99,0.9188060871768542,False,7
trial00_episode13_task140,0.999,0.9188060871768542,False,6
trial00_episode13_task140,0.9999,0.9188060871768542,False,2
trial00_episode13_task180,0.9,6.226617561241888,False,7
trial00_episode13_task180,0.99,6.226617561241888,False,7
trial00_episode13_task180,0.999,6.226617561241888,False,6
trial00_episode13_task180,0.9999,6.226617561241888,False,2
trial00_episode14_task020,0.9,2.2832114180390306,False,7
trial00_episode14_task020,0.99,2.2832114180390306,False,7
trial00_episode14_task020,0.999,2.2832114180390306,False,6
trial00_episode14_task020,0.9999,2.2832114180390306,False,3
trial00_episode14_task060,0.9,6.24462753983854,False,7
trial00_episode14_task060,0.99,6.24462753983854,False,7
trial00_episode14_task060,0.999,6.24462753983854,False,6
trial00_episode14_task060,0.9999,10.12779578264233,False,1
trial00_episode14_task100,0.9,5.764162676948388,False,7
trial00_episode14_task100,0.99,5.764162676948388,False,7
trial00_episode14_task100,0.999,5.764162676948388,False,7
trial00_episode14_task100,0.9999,5.764162676948388,False,4
trial00_episode14_task140,0.9,7.4018662709662735,False,7
trial00_episode14_task140,0.99,7.4018662709662735,False,7
trial00_episode14_task140,0.999,7.4018662709662735,False,6
trial00_episode14_task140,0.9999,7.849700005178036,False,1
trial00_episode14_task180,0.9,1.153126848614555,False,7
trial00_episode14_task180,0.99,1.153126848614555,False,7
trial00_episode14_task180,0.999,1.153126848614555,False,7
trial00_episode14_task180,0.9999,1.153126848614555,False,3
trial00_episode15_task020,0.9,5.6994351231851965,False,7
trial00_episode15_task020,0.99,5.6994351231851965,False,7
trial00_episode15_task020,0.999,5.6994351231851965,False,6
trial00_episode15_task020,0.9999,5.6994351231851965,False,3
trial00_episode15_task060,0.9,6.244627539838035,False,7
trial00_episode15_task060,0.99,6.244627539838035,False,7
trial00_episode15_task060,0.999,6.244627539838035,False,6
trial00_episode15_task060,0.9999,6.244627539838035,False,2
trial00_episode15_task100,0.9,2.6397436072156353,False,7
trial00_episode15_task100,0.99,2.6397436072156353,False,7
trial00_episode15_task100,0.999,2.6397436072156353,False,7
trial00_episode15_task100,0.9999,2.6397436072156353,False,6
trial00_episode15_task140,0.9,7.4018662709662735,False,7
trial00_episode15_task140,0.99,7.4018662709662735,False,7
trial00_episode15_task140,0.999,7.4018662709662735,False,6
trial00_episode15_task140,0.9999,7.4018662709662735,False,1
trial00_episode15_task180,0.9,6.226617561241888,False,7
trial00_episode15_task180,0.99,6.226617561241888,False,7
trial00_episode15_task180,0.999,6.226617561241888,False,5
trial00_episode15_task180,0.9999,6.226617561241888,False,1
trial00_episode16_task020,0.9,5.6994351231851965,False,7
trial00_episode16_task020,0.99,5.6994351231851965,False,7
trial00_episode16_task020,0.999,5.6994351231851965,False,7
trial00_episode16_task020,0.9999,5.6994351231851965,False,6
trial00_episode16_task060,0.9,6.24462753983854,False,7
trial00_episode16_task060,0.99,6.24462753983854,False,7
trial00_episode16_task060,0.999,6.24462753983854,False,7
trial00_episode16_task060,0.9999,6.24462753983854,False,5
trial00_episode16_task100,0.9,5.764162676948388,False,7
trial00_episode16_task100,0.99,5.764162676948388,False,7
trial00_episode16_task100,0.999,5.764162676948388,False,7
trial00_episode16_task100,0.9999,5.764162676948388,False,6
trial00_episode16_task140,0.9,0.8921896700883138,False,7
trial00_episode16_task140,0.99,0.8921896700883138,False,7
trial00_episode16_task140,0.999,0.8921896700883138,False,7
trial00_episode16_task140,0.9999,0.8921896700883138,False,6
trial00_episode16_task180,0.9,6.226617561241888,False,7
trial00_episode16_task180,0.99,6.226617561241888,False,7
trial00_episode16_task180,0.999,6.226617561241888,False,7
trial00_episode16_task180,0.9999,6.226617561241888,False,3
trial00_episode17_task020,0.9,5.6994351231851965,False,7
trial00_episode17_task020,0.99,5.6994351231851965,False,7
trial00_episode17_task020,0.999,5.6994351231851965,False,5
trial00_episode17_task020,0.9999,11.748786653527944,False,1
trial00_episode17_task060,0.9,6.244627539838035,False,7
trial00_episode17_task060,0.99,6.244627539838035,False,7
trial00_episode17_task060,0.999,6.244627539838035,False,4
trial00_episode17_task060,0.9999,10.127795782641478,False,1
trial00_episode17_task100,0.9,5.764162676948388,False,7
trial00_episode17_task100,0.99,5.764162676948388,False,7
trial00_episode17_task100,0.999,5.764162676948388,False,6
trial00_episode17_task100,0.9999,5.764162676948388,False,1
trial00_episode17_task140,0.9,7.4018662709662735,False,7
trial00_episode17_task140,0.99,7.4018662709662735,False,7
trial00_episode17_task140,0.999,7.4018662709662735,False,3
trial00_episode17_task140,0.9999,7.849700005178036,False,1
trial00_episode17_task180,0.9,2.5157162700785207,False,7
trial00_episode17_task180,0.99,2.5157162700785207,False,7
trial00_episode17_task180,0.999,2.5157162700785207,False,2
trial00_episode17_task180,0.9999,57.17957508581985,False,1
trial00_episode18_task020,0.9,5.6994351231851965,False,7
trial00_episode18_task020,0.99,5.6994351231851965,False,7
trial00_episode18_task020,0.999,5.6994351231851965,False,7
trial00_episode18_task020,0.9999,5.6994351231851965,False,2
trial00_episode18_task060,0.9,3.3278771903304545,False,7
trial00_episode18_task060,0.99,3.3278771903304545,False,7
trial00_episode18_task060,0.999,3.3278771903304545,False,6
trial00_episode18_task060,0.9999,3.3278771903304545,False,2
trial00_episode18_task100,0.9,5.764162676948388,False,7
trial00_episode18_task100,0.99,5.764162676948388,False,7
trial00_episode18_task100,0.999,5.764162676948388,False,7
trial00_episode18_task100,0.9999,5.764162676948388,False,4
trial00_episode18_task140,0.9,7.4018662709662735,False,7
trial00_episode18_task140,0.99,7.4018662709662735,False,7
trial00_episode18_task140,0.999,7.4018662709662735,False,5
trial00_episode18_task140,0.9999,0.44783373421176265,False,2
trial00_episode18_task180,0.9,6.226617561241888,False,7
trial00_episode18_task180,0.99,6.226617561241888,False,7
trial00_episode18_task180,0.999,6.226617561241888,False,4
trial00_episode18_task180,0.9999,1.831613476286087,False,2
trial00_episode19_task020,0.9,5.6994351231851965,False,7
trial00_episode19_task020,0.99,5.6994351231851965,False,7
trial00_episode19_task020,0.999,5.6994351231851965,False,7
trial00_episode19_task020,0.9999,11.748786653528036,False,2
trial00_episode19_task060,0.9,6.244627539838035,False,7
trial00_episode19_task060,0.99,6.244627539838035,False,7
trial00_episode19_task060,0.999,6.244627539838035,False,6
trial00_episode19_task060,0.9999,10.127795782641478,False,2
trial00_episode19_task100,0.9,5.764162676948388,False,7
trial00_episode19_task100,0.99,5.764162676948388,False,7
trial00_episode19_task100,0.999,5.764162676948388,False,7
trial00_episode19_task100,0.9999,13.535647320883925,False,4
trial00_episode19_task140,0.9,2.460110196914897,False,7
trial00_episode19_task140,0.99,2.460110196914897,False,7
trial00_episode19_task140,0.999,2.460110196914897,False,5
trial00_episode19_task140,0.9999,69.57262148433696,False,3
trial00_episode19_task180,0.9,6.226617561241888,False,7
trial00_episode19_task180,0.99,6.226617561241888,False,7
trial00_episode19_task180,0.999,6.226617561241888,False,5
trial00_episode19_task180,0.9999,8.058231037527975,False,1
trial00_episode20_task020,0.9,5.6994351231851965,False,7
trial00_episode20_task020,0.99,5.6994351231851965,False,7
trial00_episode20_task020,0.999,5.6994351231851965,False,7
trial00_episode20_task020,0.9999,5.6994351231851965,False,2
trial00_episode20_task060,0.9,6.244627539838035,False,7
trial00_episode20_task060,0.99,6.244627539838035,False,7
trial00_episode20_task060,0.999,6.244627539838035,False,7
trial00_episode20_task060,0.9999,10.127795782641478,False,2
trial00_episode20_task100,0.9,5.764162676948388,False,7
trial00_episode20_task100,0.99,5.764162676948388,False,7
trial00_episode20_task100,0.999,5.764162676948388,False,7
trial00_episode20_task100,0.9999,5.764162676948388,False,6
trial00_episode20_task140,0.9,2.460110196914002,False,7
trial00_episode20_task140,0.99,2.460110196914002,False,7
trial00_episode20_task140,0.999,2.460110196914002,False,7
trial00_episode20_task140,0.9999,69.65611579149336,False,2
trial00_episode20_task180,0.9,6.226617561241888,False,7
trial00_episode20_task180,0.99,6.226617561241888,False,7
trial00_episode20_task180,0.999,6.226617561241888,False,7
trial00_episode20_task180,0.9999,1.8058785687432568,False,1
trial01_episode01_task020,0.9,1.6568582484915737,False,7
trial01_episode01_task020,0.99,1.6568582484915737,False,7
trial01_episode01_task020,0.999,1.6568582484915737,False,7
trial01_episode01_task020,0.9999,1.6568582484915737,False,7
trial01_episode01_task060,0.9,5.029836674231859,False,7
trial01_episode01_task060,0.99,5.029836674231859,False,7
trial01_episode01_task060,0.999,5.029836674231859,False,7
trial01_episode01_task060,0.9999,5.029836674231859,False,2
trial01_episode01_task100,0.9,5.764162676948388,False,7
trial01_episode01_task100,0.99,5.764162676948388,False,7
trial01_episode01_task100,0.999,5.764162676948388,False,7
trial01_episode01_task100,0.9999,5.764162676948388,False,4
trial01_episode01_task140,0.9,7.4018662709662735,False,7
trial01_episode01_task140,0.99,7.4018662709662735,False,7
trial01_episode01_task140,0.999,7.4018662709662735,False,7
trial01_episode01_task140,0.9999,7.849700005178036,False,1
trial01_episode01_task180,0.9,6.226617561241888,False,7
trial01_episode01_task180,0.99,6.226617561241888,False,7
trial01_episode01_task180,0.999,6.226617561241888,False,7
trial01_episode01_task180,0.9999,39.63459001823826,False,1
trial01_episode02_task020,0.9,5.6994351231851965,False,7
trial01_episode02_task020,0.99,5.6994351231851965,False,7
trial01_episode02_task020,0.999,5.6994351231851965,False,7
trial01_episode02_task020,0.9999,5.6994351231851965,False,4
trial01_episode02_task060,0.9,3.6910341560956113,False,7
trial01_episode02_task060,0.99,3.6910341560956113,False,7
trial01_episode02_task060,0.999,3.6910341560956113,False,7
trial01_episode02_task060,0.9999,3.6910341560956113,False,6
trial01_episode02_task100,0.9,5.764162676948388,False,7
trial01_episode02_task100,0.99,5.764162676948388,False,7
trial01_episode02_task100,0.999,5.764162676948388,False,7
trial01_episode02_task100,0.9999,5.764162676948388,False,6
trial01_episode02_task140,0.9,2.460110196914897,False,7
trial01_episode02_task140,0.99,2.460110196914897,False,7
trial01_episode02_task140,0.999,2.460110196914897,False,7
trial01_episode02_task140,0.9999,2.460110196914897,False,4
trial01_episode02_task180,0.9,6.226617561241888,False,7
trial01_episode02_task180,0.99,6.226617561241888,False,7
trial01_episode02_task180,0.999,6.226617561241888,False,7
trial01_episode02_task180,0.9999,6.226617561241888,False,3
trial01_episode03_task020,0.9,5.6994351231851965,False,7
trial01_episode03_task020,0.99,5.6994351231851965,False,7
