episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size,action_index,selected_action,myopic_action,probability,q_h5,q_h10,q_h20,q_h50,legacy_q_h5,legacy_q_h10,legacy_q_h20,legacy_q_h50
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,0,5,5,0.009007683955132961,217.71283575728648,281.3539858395261,306.4983079833535,312.46698825114254,221.23122763477602,446.1131056101127,581.8555914920028,653.6950091109935
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,1,5,5,0.009406519122421741,217.78755477209208,281.42870485433167,306.57302699815915,312.5417072659481,221.29175003676858,446.17362801210527,581.9161138939953,653.7555315129861
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,2,5,5,0.01325163058936596,226.97739884157272,290.61854892381234,315.76287106763976,321.7315513354287,228.73552373304784,453.6174017083845,589.3598875902745,661.1993052092653
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,3,5,5,0.011736690066754818,217.3913337486611,281.03248383090073,306.1768059747282,312.14548624251717,220.81063463635752,445.69251261169416,581.4349984935842,653.274416112575
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,4,5,5,0.015588347800076008,230.99408512464532,294.63523520688494,319.7795573507124,325.7482376185014,231.9890396223367,456.8709175976734,592.6134034795634,664.4528210985542
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,5,5,5,0.02157118357717991,236.9061634984484,300.547313580688,325.6916357245155,331.66031599230445,236.7778231051172,461.65970108045383,597.4021869623439,669.2416045813346
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,6,5,5,0.018342260271310806,218.4195096718528,282.0606597540924,307.20498189791994,313.1736621657089,221.80363350557474,446.6855114809114,582.4279973628014,654.2674149817922
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,7,5,5,0.013982229866087437,217.78755477209208,281.42870485433167,306.57302699815915,312.5417072659481,221.29175003676858,446.17362801210527,581.9161138939953,653.7555315129861
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,8,5,5,0.024759748950600624,226.97739884157272,290.61854892381234,315.76287106763976,321.7315513354287,228.73552373304784,453.6174017083845,589.3598875902745,661.1993052092653
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,9,5,5,0.015745310112833977,217.3913337486611,281.03248383090073,306.1768059747282,312.14548624251717,220.81063463635752,445.69251261169416,581.4349984935842,653.274416112575
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,10,5,5,0.02722013182938099,230.99408512464532,294.63523520688494,319.7795573507124,325.7482376185014,231.9890396223367,456.8709175976734,592.6134034795634,664.4528210985542
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,11,5,5,0.035733964294195175,236.9061634984484,300.547313580688,325.6916357245155,331.66031599230445,236.7778231051172,461.65970108045383,597.4021869623439,669.2416045813346
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,12,5,5,0.03160182759165764,218.4195096718528,282.0606597540924,307.20498189791994,313.1736621657089,221.80363350557474,446.6855114809114,582.4279973628014,654.2674149817922
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,13,5,5,0.02406776137650013,226.97739884157272,290.61854892381234,315.76287106763976,321.7315513354287,228.73552373304784,453.6174017083845,589.3598875902745,661.1993052092653
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,14,5,5,0.018184442073106766,193.40132327362002,257.0424733558596,282.1867954996871,288.15547576747605,199.93291494656143,424.81479292189806,560.5572788037881,632.3966964227789
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,15,5,5,0.027074769139289856,230.99408512464532,294.63523520688494,319.7795573507124,325.7482376185014,231.9890396223367,456.8709175976734,592.6134034795634,664.4528210985542
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,16,5,5,0.03834442421793938,236.9061634984484,300.547313580688,325.6916357245155,331.66031599230445,236.7778231051172,461.65970108045383,597.4021869623439,669.2416045813346
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,17,5,5,0.03168944641947746,218.4195096718528,282.0606597540924,307.20498189791994,313.1736621657089,221.80363350557474,446.6855114809114,582.4279973628014,654.2674149817922
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,18,5,5,0.031148098409175873,224.3196294072349,287.96077948947453,313.105101633302,319.07378190109097,226.42255411980233,451.30443209513896,587.046917977029,658.8863355960198
296,67,ep296_task067,test,59066,0.4148416005724402,medium,0.99,16-28,28,28,19,5,5,0.05099349841475487,230.99408512464532,294.63523520688494,319.7795573507124,325.7482376185014,231.9890396223367,456.8709175976734,592.6134034795634,664.4528210985542
