trial_id,policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
2,Max-Reliability,6,1600,1600,0,0.2998380741418515,0.6592481262209058,4.0,3.426061552717781,2493.1764705882347,8315.076321523893,1600
2,Max-Reliability,7,2000,1600,400,0.3539755041952416,0.5765996128471645,3.0,2.3972348938926507,2943.333333333335,8315.076321523893,2000
2,Max-Reliability,8,3400,0,3400,0.5415825214187195,0.6716976280285171,3.0,1.642710894718731,4503.300000000001,8315.076321523893,3400
3,Max-Reliability,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8213.598301108135,0
3,Max-Reliability,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8213.598301108135,0
3,Max-Reliability,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8213.598301108135,0
3,Max-Reliability,4,600,600,0,0.13822026262625323,1.1981968704087487,12.0,16.40251296530397,1135.2857142857138,8213.598301108135,600
3,Max-Reliability,5,600,400,200,0.12900557845116972,0.5272047256110756,4.0,7.217079731025517,1059.6,8213.598301108135,600
3,Max-Reliability,6,1800,1800,0,0.3414853547236845,0.7017820002590353,4.0,3.202308580597713,2804.823529411764,8213.598301108135,1800
3,Max-Reliability,7,1800,1200,600,0.3225139461279244,0.5634822600865782,3.0,2.5712316300842724,2649.0000000000005,8213.598301108135,1800
3,Max-Reliability,8,3200,0,3200,0.516022313804679,0.6798214772959589,4.0,1.7449314159296596,4238.400000000001,8213.598301108135,3200
4,Max-Reliability,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8226.48525010993,0
4,Max-Reliability,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8226.48525010993,0
