state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,action_source,myopic_action,ppo_action,same_action,myopic_estimated_latency,ppo_estimated_latency,immediate_latency_gap,reliability_gap,rho_gap,q_ml_h1,q_ppo_h1,q_gap_ppo_minus_ml_h1,justified_h1,q_ml_h5,q_ppo_h5,q_gap_ppo_minus_ml_h5,justified_h5,q_ml_h10,q_ppo_h10,q_gap_ppo_minus_ml_h10,justified_h10,q_ml_h20,q_ppo_h20,q_gap_ppo_minus_ml_h20,justified_h20,q_ml_h50,q_ppo_h50,q_gap_ppo_minus_ml_h50,justified_h50
trial_001_ep1_task040,1,40,0.9,low,28,PPO high probability,6,27,False,2.607897259090203,2.607897259090203,0.0,0.00055331548906,0.101316841537665,0.0,0.0,0.0,False,262.5002698886875,240.26644496458087,-22.23382492410664,False,420.5816369668139,398.3478120427072,-22.23382492410667,False,580.757300792866,558.5234758687593,-22.23382492410667,False,649.1732102335659,626.9393853094592,-22.23382492410667,False
trial_001_ep1_task041,1,41,0.999,high,28,PPO sampled,6,23,False,0.6447139142144023,0.7909778435402679,0.1462639293258656,8.832930359581326e-06,0.2991226237405465,161.57508555978183,148.59963144483746,-12.975454114944398,False,366.7873112395353,353.8118571245909,-12.975454114944398,False,454.36605887386935,441.39060475892495,-12.975454114944398,False,641.1335204243954,628.1580663094511,-12.97545411494434,False,708.3566958369269,695.3812417219825,-12.97545411494434,False
trial_001_ep1_task041,1,41,0.999,high,28,PPO high probability,6,27,False,0.6447139142144023,0.6447139142144023,0.0,1.0573569387273274e-05,0.101316841537665,161.57508555978183,161.57508555978183,0.0,False,366.7873112395353,366.7873112395353,0.0,False,454.36605887386935,454.36605887386935,0.0,False,641.1335204243954,641.1335204243954,0.0,False,708.3566958369269,708.3566958369269,0.0,False
trial_001_ep1_task044,1,44,0.99,low,28,PPO sampled,6,6,True,2.496790021414936,2.496790021414936,0.0,0.0,0.0,0.0,0.0,0.0,False,240.9409649110293,240.9409649110293,0.0,False,353.6069760958967,353.6069760958967,0.0,False,514.523449086335,514.523449086335,0.0,False,590.6670073789189,590.6670073789189,0.0,False
trial_001_ep1_task044,1,44,0.99,low,28,PPO high probability,6,27,False,2.496790021414936,2.496790021414936,0.0,0.0004814701686707,0.101316841537665,0.0,0.0,0.0,False,240.9409649110293,220.68029648982528,-20.26066842120403,False,353.6069760958967,331.83597632648923,-21.770999769407467,False,514.523449086335,492.7524493169275,-21.770999769407467,False,590.6670073789189,568.8960076095113,-21.77099976940758,False
trial_001_ep1_task046,1,46,0.9999,high,1,PPO sampled,27,27,True,2.549383177468637,2.549383177468637,0.0,0.0,0.0,0.0,0.0,0.0,False,148.3153781339803,148.3153781339803,0.0,False,358.36368205663433,358.36368205663433,0.0,False,500.8042198935772,500.8042198935772,0.0,False,580.0759243906339,580.0759243906339,0.0,False
trial_001_ep1_task046,1,46,0.9999,high,1,PPO high probability,27,27,True,2.549383177468637,2.549383177468637,0.0,0.0,0.0,0.0,0.0,0.0,False,148.3153781339803,148.3153781339803,0.0,False,358.36368205663433,358.36368205663433,0.0,False,500.8042198935772,500.8042198935772,0.0,False,580.0759243906339,580.0759243906339,0.0,False
trial_001_ep1_task047,1,47,0.9,high,28,PPO sampled,4,14,False,3.036819522205695,3.573257693271731,0.536438171066036,-0.000735287578695,0.1119746346100573,0.0,0.0,0.0,False,204.3946865509706,216.86536518869696,12.470678637726364,True,426.6213920274206,439.0920706651469,12.470678637726335,True,556.5749752199216,569.045653857648,12.470678637726335,True,632.2357331164928,644.7064117542192,12.470678637726335,True
trial_001_ep1_task047,1,47,0.9,high,28,PPO high probability,4,21,False,3.036819522205695,3.4622562669369583,0.4254367447312632,1.7758927342348407e-05,0.0309873863558747,0.0,0.0,0.0,False,204.3946865509706,216.68706016835145,12.292373617380832,True,426.6213920274206,438.9137656448014,12.292373617380804,True,556.5749752199216,568.8673488373024,12.292373617380804,True,632.2357331164928,644.5281067338736,12.292373617380804,True
trial_001_ep1_task052,1,52,0.99,medium,28,PPO sampled,4,25,False,1.1509662289128748,1.1509662289128748,0.0,3.9374715103734914e-05,0.2819446157117352,173.54775117675348,173.54775117675348,0.0,False,376.3428770621856,376.3428770621856,0.0,False,506.9779817058368,506.9779817058368,0.0,False,651.1403857194772,651.1403857194772,0.0,False,726.3847806782808,726.3847806782808,0.0,False
trial_001_ep1_task052,1,52,0.99,medium,28,PPO high probability,4,27,False,1.1509662289128748,1.1565194239277656,0.0055531950148908,4.112265040090435e-05,0.0587184025702036,173.54775117675348,173.28018977874262,-0.2675613980108551,False,376.3428770621856,376.0753156641747,-0.2675613980109119,False,506.9779817058368,506.7104203078259,-0.2675613980109119,False,651.1403857194772,650.8728243214663,-0.2675613980109119,False,726.3847806782808,726.1172192802699,-0.2675613980109119,False
trial_001_ep1_task053,1,53,0.9,low,28,PPO sampled,5,7,False,0.4839258462951721,0.7294095459019804,0.2454836996068082,-3.166126224030119e-05,-0.0861834830177531,0.0,0.0,0.0,False,249.76011624233277,225.32791765048012,-24.4321985918526,False,394.91023251305626,370.4780339212037,-24.43219859185257,False,573.4886067682125,549.0564081763599,-24.432198591852625,False,638.6955647046609,614.2633661128083,-24.432198591852625,False
trial_001_ep1_task053,1,53,0.9,low,28,PPO high probability,5,27,False,0.4839258462951721,0.4839258462951721,0.0,1.909190998627963e-06,-0.0114583160757162,0.0,0.0,0.0,False,249.76011624233277,249.76011624233277,0.0,False,394.91023251305626,394.91023251305626,0.0,False,573.4886067682125,573.4886067682125,0.0,False,638.6955647046609,638.6955647046609,0.0,False
trial_001_ep1_task056,1,56,0.99,medium,28,PPO sampled,6,17,False,2.450691140935346,2.450691140935346,0.0,-0.0001093512182044,0.0026326340305295,105.59638138635216,105.59638138635216,0.0,False,304.70490850668625,304.70490850668625,0.0,False,408.51547286976273,408.51547286976273,0.0,False,561.7889859803544,561.7889859803544,0.0,False,641.4323864582789,641.4323864582789,0.0,False
trial_001_ep1_task056,1,56,0.99,medium,28,PPO high probability,6,21,False,2.450691140935346,2.450691140935346,0.0,-0.0001896160273923,0.0735858253233361,105.59638138635216,105.59638138635216,0.0,False,304.70490850668625,304.70490850668625,0.0,False,408.51547286976273,408.51547286976273,0.0,False,561.7889859803544,561.7889859803544,0.0,False,641.4323864582789,641.4323864582789,0.0,False
trial_001_ep1_task057,1,57,0.99,medium,28,PPO sampled,5,23,False,1.014133995476965,1.014133995476965,0.0,6.240786793898501e-06,0.1863474661271652,0.0,0.0,0.0,False,221.23169680037125,221.23169680037125,0.0,False,372.7032366992081,372.7032366992081,0.0,False,529.8769023504361,529.8769023504361,0.0,False,595.8075468914078,595.8075468914078,0.0,False
trial_001_ep1_task057,1,57,0.99,medium,28,PPO high probability,5,27,False,1.014133995476965,1.014133995476965,0.0,1.7059538605423974e-05,-0.0114583160757162,0.0,0.0,0.0,False,221.23169680037125,221.23169680037125,0.0,False,372.7032366992081,372.7032366992081,0.0,False,529.8769023504361,529.8769023504361,0.0,False,595.8075468914078,595.8075468914078,0.0,False
