Alpha,Heterogeneity_Scenario,Beta_p,Task_ID,Primary_Server,Best_Backup,Second_Backup,Best_Marginal,Second_Marginal,Marginal_Ratio,Best_Rho,Second_Rho,Best_Amplification,Second_Amplification,Required_Amplification_Ratio,Observed_Amplification_Ratio,Reversal_Margin,Actual_Reversal
0.0,H0,0.0,14,1,8,7,0.0008175397553787605,0.0011472170802618936,1.4032554046627321,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4032554046627321,1.0,0.7126286467005247,False
0.0,H0,0.0,14,2,8,7,0.0008175397553787605,0.0011472170802618936,1.4032554046627321,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4032554046627321,1.0,0.7126286467005247,False
0.0,H0,0.0,14,3,8,7,0.0008175397553787605,0.0011472170802618936,1.4032554046627321,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4032554046627321,1.0,0.7126286467005247,False
0.0,H0,0.0,14,4,8,7,0.0008175397553787605,0.0011472170802618936,1.4032554046627321,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4032554046627321,1.0,0.7126286467005247,False
0.0,H0,0.0,14,5,8,7,0.0008175397553787605,0.0011472170802618936,1.4032554046627321,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4032554046627321,1.0,0.7126286467005247,False
0.0,H0,0.0,14,6,8,7,0.0008175397553787605,0.0011472170802618936,1.4032554046627321,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4032554046627321,1.0,0.7126286467005247,False
0.0,H0,0.0,14,7,8,1,0.0008175397553787605,0.0030903933049826965,3.7801137922044403,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7801137922044403,1.0,0.26454230083291547,False
0.0,H0,0.0,14,8,7,1,0.0011472170802618936,0.0030903933049826965,2.6938173761126385,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6938173761126385,1.0,0.37122041340570305,False
0.0,H0,0.0,15,1,8,7,0.0017417562280973608,0.0024436728142216706,1.402993584751559,0.025396350832529932,0.13817150844591128,1.0,1.0,1.402993584751559,1.0,0.7127616340291956,False
0.0,H0,0.0,15,2,8,7,0.0017417562280973608,0.0024436728142216706,1.402993584751559,0.1712773597674974,0.15181352681030647,1.0,1.0,1.402993584751559,1.0,0.7127616340291956,False
0.0,H0,0.0,15,3,8,7,0.0017417562280973608,0.0024436728142216706,1.402993584751559,0.02802898486305948,0.2198676965397751,1.0,1.0,1.402993584751559,1.0,0.7127616340291956,False
0.0,H0,0.0,15,4,8,7,0.0017417562280973608,0.0024436728142216706,1.402993584751559,0.09898217615586608,0.3447276787973151,1.0,1.0,1.402993584751559,1.0,0.7127616340291956,False
0.0,H0,0.0,15,5,8,7,0.0017417562280973608,0.0024436728142216706,1.402993584751559,0.07217003908143543,0.3245189745730765,1.0,1.0,1.402993584751559,1.0,0.7127616340291956,False
0.0,H0,0.0,15,6,8,7,0.0017417562280973608,0.0024436728142216706,1.402993584751559,0.3540107070824934,0.3499394055117266,1.0,1.0,1.402993584751559,1.0,0.7127616340291956,False
0.0,H0,0.0,15,7,8,1,0.0017417562280973608,0.006575568298045232,3.7752517786189714,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7752517786189714,1.0,0.2648829955298534,False
0.0,H0,0.0,15,8,7,1,0.0024436728142216706,0.006575568298045232,2.690854626600085,0.12671319237019502,0.025396350832529932,1.0,1.0,2.690854626600085,1.0,0.3716291434381602,False
0.0,H0,0.0,16,1,8,7,0.001824195593799143,0.0025592921044016444,1.4029702259457606,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4029702259457606,1.0,0.7127735011809584,False
0.0,H0,0.0,16,2,8,7,0.001824195593799143,0.0025592921044016444,1.4029702259457606,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4029702259457606,1.0,0.7127735011809584,False
0.0,H0,0.0,16,3,8,7,0.001824195593799143,0.0025592921044016444,1.4029702259457606,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4029702259457606,1.0,0.7127735011809584,False
0.0,H0,0.0,16,4,8,7,0.001824195593799143,0.0025592921044016444,1.4029702259457606,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4029702259457606,1.0,0.7127735011809584,False
0.0,H0,0.0,16,5,8,7,0.001824195593799143,0.0025592921044016444,1.4029702259457606,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4029702259457606,1.0,0.7127735011809584,False
0.0,H0,0.0,16,6,8,7,0.001824195593799143,0.0025592921044016444,1.4029702259457606,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4029702259457606,1.0,0.7127735011809584,False
0.0,H0,0.0,16,7,8,1,0.001824195593799143,0.0068860070028642925,3.7748183507686357,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7748183507686357,1.0,0.2649134096204598,False
0.0,H0,0.0,16,8,7,1,0.0025592921044016444,0.0068860070028642925,2.6905904921994916,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6905904921994916,1.0,0.37166562615127824,False
0.0,H0,0.0,17,1,8,7,0.0016639512248959596,0.0023345495756360445,1.4030156297291796,0.025396350832529932,0.13817150844591128,1.0,1.0,1.4030156297291796,1.0,0.7127504347139935,False
0.0,H0,0.0,17,2,8,7,0.0016639512248959596,0.0023345495756360445,1.4030156297291796,0.1712773597674974,0.15181352681030647,1.0,1.0,1.4030156297291796,1.0,0.7127504347139935,False
0.0,H0,0.0,17,3,8,7,0.0016639512248959596,0.0023345495756360445,1.4030156297291796,0.02802898486305948,0.2198676965397751,1.0,1.0,1.4030156297291796,1.0,0.7127504347139935,False
0.0,H0,0.0,17,4,8,7,0.0016639512248959596,0.0023345495756360445,1.4030156297291796,0.09898217615586608,0.3447276787973151,1.0,1.0,1.4030156297291796,1.0,0.7127504347139935,False
0.0,H0,0.0,17,5,8,7,0.0016639512248959596,0.0023345495756360445,1.4030156297291796,0.07217003908143543,0.3245189745730765,1.0,1.0,1.4030156297291796,1.0,0.7127504347139935,False
0.0,H0,0.0,17,6,8,7,0.0016639512248959596,0.0023345495756360445,1.4030156297291796,0.3540107070824934,0.3499394055117266,1.0,1.0,1.4030156297291796,1.0,0.7127504347139935,False
0.0,H0,0.0,17,7,8,1,0.0016639512248959596,0.006282515546364874,3.7756608801785614,0.12671319237019502,0.13817150844591128,1.0,1.0,3.7756608801785614,1.0,0.26485429484670964,False
0.0,H0,0.0,17,8,7,1,0.0023345495756360445,0.006282515546364874,2.6911039336798885,0.12671319237019502,0.025396350832529932,1.0,1.0,2.6911039336798885,1.0,0.37159471527083415,False
0.0,H0,0.0,18,1,8,7,0.0007232363969549817,0.001014904700262279,1.40328211430633,0.025396350832529932,0.13817150844591128,1.0,1.0,1.40328211430633,1.0,0.7126150827442989,False
0.0,H0,0.0,18,2,8,7,0.0007232363969549817,0.001014904700262279,1.40328211430633,0.1712773597674974,0.15181352681030647,1.0,1.0,1.40328211430633,1.0,0.7126150827442989,False
