Beta_p,Independent_Baseline_Type,Server_J,Server_K,Distance_km,Rho_phy,Empirical_Latent_Correlation,Theoretical_Latent_Correlation,Empirical_Hazard_Correlation,Theoretical_Hazard_Correlation,Mean_Marginal_Failure_J_Spatial,Mean_Marginal_Failure_K_Spatial,Mean_Joint_Failure_Spatial,Mean_Joint_Failure_Independent,Mean_Joint_Failure_Amplification,Mean_Excess_Joint_Failure,Mean_Relative_Joint_Underestimation,Mean_Binary_Failure_Correlation,Max_Binary_Failure_Correlation,Max_Joint_Failure_Amplification,Max_Absolute_Marginal_Difference
0.2,matched_marginal_product,4,5,1.0838445765538174,0.11444176899201255,0.11580492741275254,0.11444176899201255,0.11294194671755634,0.11242531883185182,0.009079327851290082,0.008257034607218171,8.375998184341761e-05,8.338157450792956e-05,1.0045468958535044,3.78407335488054e-07,0.004546895853504512,3.971169083115527e-05,7.592795615966321e-05,1.0045812769372777,0.0
0.2,matched_marginal_product,4,6,0.7963105702239037,0.20339179397623902,0.2027625714227629,0.20339179397623902,0.19873283060456168,0.20016420736686422,0.009079327851290082,0.016456920003029726,0.00016743775757006965,0.0001661163678359226,1.007977110236851,1.3213897341470974e-06,0.007977110236851074,9.87644818301961e-05,0.00018846608246660004,1.008067081056883,0.0
0.2,matched_marginal_product,4,7,0.5325002552302455,0.3447276787973151,0.3466890355543499,0.3447276787973151,0.3424383679196308,0.3402193575305096,0.009079327851290082,0.00028447158136366327,2.9136411104911484e-06,2.8738289215396605e-06,1.0138678502424918,3.981218895148821e-08,0.013867850242491686,2.239161322694352e-05,4.288688728944422e-05,1.0139253117669953,0.0
0.2,matched_marginal_product,4,8,1.1564077419430592,0.09898217615586608,0.09571089135001869,0.09898217615586608,0.0932450045770666,0.097208040185765,0.009079327851290082,0.00037555902861386375,3.808351458183089e-06,3.7940078376217874e-06,1.0037845241538603,1.4343620561300824e-08,0.003784524153860127,7.021517251907419e-06,1.3449008866546845e-05,1.0038000921896477,0.0
0.2,matched_marginal_product,5,6,0.8263780820651767,0.19152131632955052,0.19484497015945473,0.19152131632955052,0.19096392628935285,0.18843729909536497,0.008257034607218171,0.016456920003029726,0.00015223325808074294,0.00015107790982836697,1.0076682312190743,1.1553482523759578e-06,0.007668231219074427,9.050216423226004e-05,0.00017273922046654296,1.0077515930339307,0.0
0.2,matched_marginal_product,5,7,0.5627056356434252,0.3245189745730765,0.3243505498030459,0.3245189745730765,0.31897425646583033,0.3201452318084683,0.008257034607218171,0.00028447158136366327,2.647405150805074e-06,2.613663209190236e-06,1.0129221182111678,3.3741941614838005e-08,0.012922118211167765,1.9889163166979577e-05,3.8101500267435604e-05,1.0129708411021927,0.0
0.2,matched_marginal_product,5,8,1.314365145189487,0.07217003908143543,0.07919871655927567,0.07217003908143543,0.07695014075389377,0.0708384598082665,0.008257034607218171,0.00037555902861386375,3.461309436436717e-06,3.450538967078112e-06,1.0031243215967727,1.0770469358605692e-08,0.003124321596772742,5.52564557963302e-06,1.0586105156431883e-05,1.003135952780437,0.0
0.2,matched_marginal_product,6,7,0.5249976332981291,0.3499394055117266,0.3509559022274131,0.3499394055117266,0.3448845523474449,0.3453990096814453,0.016456920003029726,0.00028447158136366327,5.2794466210986195e-06,5.207041324850404e-06,1.0139312790948862,7.240529624821679e-08,0.013931279094886138,3.039688061255751e-05,5.8119631610997746e-05,1.0140347861109131,0.0
0.2,matched_marginal_product,6,8,0.5192140601550097,0.3540107070824934,0.35662247013872816,0.3540107070824934,0.35246973174472684,0.3494460065097041,0.016456920003029726,0.00037555902861386375,6.972187615447757e-06,6.8742978557283805e-06,1.0142669564583866,9.788975971937705e-08,0.014266956458386541,3.5768870305288435e-05,6.838572907383642e-05,1.0143743699913608,0.0
0.2,matched_marginal_product,7,8,1.0329145370926014,0.12671319237019502,0.13078637806084992,0.12671319237019502,0.12841971803616953,0.12451110058828972,0.00028447158136366327,0.00037555902861386375,1.1955024960779327e-07,1.1892650355976678e-07,1.0052451841759196,6.237460480265173e-10,0.005245184175919468,1.7149913261826086e-06,3.2914158095339895e-06,1.0052466909883744,0.0
0.5,matched_marginal_product,1,2,1.9313933954397549,0.021009369147363816,0.019303665551603847,0.021009369147363816,0.017428506548374138,0.01854115761620333,0.005245286412236522,0.014081156256145566,8.252262020957397e-05,8.21213073123958e-05,1.0049006704618466,4.0131289717818784e-07,0.0049006704618466046,4.251036712686698e-05,8.094452362633611e-05,1.004956125872181,0.0
0.5,matched_marginal_product,1,3,0.848949142165538,0.18306787663613355,0.18265252158023934,0.18306787663613355,0.16601200958794285,0.16488115500420394,0.005245286412236522,0.00921402491868268,5.625313097581188e-05,5.375273029442344e-05,1.046613422270381,2.5004006813884384e-06,0.04661342227038091,0.0003263192987281026,0.000622706294614449,1.0469992664040457,0.0
0.5,matched_marginal_product,1,4,1.4397725609322833,0.05616030311880285,0.05245971184276063,0.05616030311880285,0.045403132776331866,0.04978111009987058,0.005245286412236522,0.00907659044597555,5.3624035563248933e-05,5.29514577813096e-05,1.0127256404454963,6.725777819393343e-07,0.012725640445496355,8.842224473656225e-05,0.0001688599319635539,1.0128207512953324,0.0
0.5,matched_marginal_product,1,5,0.5222126575031668,0.35189398947555517,0.351762826067618,0.35189398947555517,0.3223958798463449,0.32377096009833106,0.005245286412236522,0.008252495431597697,5.249886657934527e-05,4.8146266449636846e-05,1.090585032873486,4.35260012970842e-06,0.09058503287348596,0.0005998447657163063,0.0011448300900710523,1.0913084433872542,0.0
0.5,matched_marginal_product,1,6,1.3441620986649503,0.06799478979999132,0.06394009410891056,0.06799478979999132,0.055789805975115105,0.06036078616974613,0.005245286412236522,0.016425341527122665,9.727086912286995e-05,9.577858625646501e-05,1.0156258485225391,1.492282866404963e-06,0.015625848522538982,0.00014658127069013788,0.0002791213339209397,1.0158074329831936,0.0
0.5,matched_marginal_product,1,7,0.989629775327275,0.13817150844591128,0.13879438394690585,0.13817150844591128,0.12354801505365372,0.12374389560818624,0.005245286412236522,0.0002847138455261326,1.7198625968839937e-06,1.661891726972405e-06,1.0349094184443624,5.7970869911588516e-08,0.03490941844436244,4.277513469876565e-05,8.192979789260963e-05,1.035016318321709,0.0
0.5,matched_marginal_product,1,8,1.836574891644758,0.025396350832529932,0.024924455797724225,0.025396350832529932,0.021262972429312053,0.02242505605245305,0.005245286412236522,0.00037578240650654876,2.2066926469979736e-06,2.193451765635734e-06,1.0060398892826508,1.3240881362239398e-08,0.006039889282650785,8.503838313998614e-06,1.630176102620624e-05,1.0060531015913292,0.0
