state_id,trial_id,requirement,load_tertile,safe_set_size,effective_set_size,coupling_group,q_spread,q_std_safe,q_predicted_action,actor_predicted_action,horizon,q_spearman,q_kendall,q_top1_hit,q_top3_hit,q_top5_hit,q_regret,q_optimal_set_size,actor_spearman,actor_kendall,actor_top1_hit,actor_top3_hit,actor_top5_hit,actor_regret,random_top1_hit,random_top3_hit,random_top5_hit,actor_probability_spearman
trial_000_ep1_task139,0,0.999,medium,7,7,easy,0.002422332763671875,0.0006928796647116542,16,27,10,-0.21428571428571433,-0.14285714285714288,False,False,False,2.179607969174242,1,0.5714285714285715,0.4285714285714286,False,True,True,1.7965288332310365,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
trial_000_ep1_task139,0,0.999,medium,7,7,easy,0.002422332763671875,0.0006928796647116542,16,27,20,-0.21428571428571433,-0.14285714285714288,False,False,False,2.179607969174185,1,0.5714285714285715,0.4285714285714286,False,True,True,1.7965288332310365,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
trial_000_ep1_task139,0,0.999,medium,7,7,easy,0.002422332763671875,0.0006928796647116542,16,27,50,-0.21428571428571433,-0.14285714285714288,False,False,False,2.179607969174185,1,0.5714285714285715,0.4285714285714286,False,True,True,1.7965288332310365,0.1428571428571429,0.4285714285714285,0.7142857142857143,1.0
trial_000_ep1_task141,0,0.99,high,16,16,easy,0.00147247314453125,0.0004674531810451299,5,27,5,-0.43152472149123866,-0.32205820684379116,False,False,False,5.573845679244727,4,0.4671412494260718,0.34743961448615174,True,True,True,0.0,0.25,0.6071428571428572,0.8186813186813188,1.0
trial_000_ep1_task141,0,0.99,high,16,16,easy,0.00147247314453125,0.0004674531810451299,5,27,10,-0.43152472149123866,-0.32205820684379116,False,False,False,5.573845679244755,4,0.4671412494260718,0.34743961448615174,True,True,True,0.0,0.25,0.6071428571428572,0.8186813186813188,1.0
trial_000_ep1_task141,0,0.99,high,16,16,easy,0.00147247314453125,0.0004674531810451299,5,27,20,-0.43152472149123866,-0.32205820684379116,False,False,False,5.573845679244755,4,0.4671412494260718,0.34743961448615174,True,True,True,0.0,0.25,0.6071428571428572,0.8186813186813188,1.0
trial_000_ep1_task141,0,0.99,high,16,16,easy,0.00147247314453125,0.0004674531810451299,5,27,50,-0.43152472149123866,-0.32205820684379116,False,False,False,5.573845679244755,4,0.4671412494260718,0.34743961448615174,True,True,True,0.0,0.25,0.6071428571428572,0.8186813186813188,1.0
trial_000_ep1_task143,0,0.999,low,7,7,easy,0.0017242431640625,0.000478104135254398,16,27,5,0.6175347814894367,0.4665694748158435,True,True,True,0.0,4,0.5378528742004772,0.4665694748158435,True,True,True,0.0,0.5714285714285714,0.9714285714285714,1.0,1.0
trial_000_ep1_task143,0,0.999,low,7,7,easy,0.0017242431640625,0.000478104135254398,16,27,10,0.6175347814894367,0.4665694748158435,True,True,True,0.0,4,0.5378528742004772,0.4665694748158435,True,True,True,0.0,0.5714285714285714,0.9714285714285714,1.0,1.0
trial_000_ep1_task143,0,0.999,low,7,7,easy,0.0017242431640625,0.000478104135254398,16,27,20,0.6175347814894367,0.4665694748158435,True,True,True,0.0,4,0.5378528742004772,0.4665694748158435,True,True,True,0.0,0.5714285714285714,0.9714285714285714,1.0,1.0
