state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,gae_kind,gae_value,semantics,component,selected_action,selected_advantage,conflict_state
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,raw,254.8575439453125,event,future,17,12.796508362047433,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,raw,254.8575439453125,event,total,17,16.246831318570457,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,actor_normalized,0.2529675364494324,decision,own,17,3.5548612791419885,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,actor_normalized,0.2529675364494324,decision,future,17,12.853222025416414,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,actor_normalized,0.2529675364494324,decision,total,17,16.408083304558374,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,actor_normalized,0.2529675364494324,event,own,17,3.450322956523042,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,actor_normalized,0.2529675364494324,event,future,17,12.796508362047433,False
ep001_task113,1,113,low,0.99,16-28,25,25,0.0,actor_normalized,0.2529675364494324,event,total,17,16.246831318570457,False
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,raw,317.78680419921875,decision,own,22,-0.885937969490783,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,raw,317.78680419921875,decision,future,22,20.55657585143024,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,raw,317.78680419921875,decision,total,22,19.670637881939513,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,raw,317.78680419921875,event,own,22,-0.90985345460156,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,raw,317.78680419921875,event,future,22,21.44419759807107,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,raw,317.78680419921875,event,total,22,20.534344143469582,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,actor_normalized,1.1834464073181152,decision,own,22,-0.885937969490783,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,actor_normalized,1.1834464073181152,decision,future,22,20.55657585143024,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,actor_normalized,1.1834464073181152,decision,total,22,19.670637881939513,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,actor_normalized,1.1834464073181152,event,own,22,-0.90985345460156,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,actor_normalized,1.1834464073181152,event,future,22,21.44419759807107,True
ep001_task125,1,125,high,0.999,16-28,22,22,1.8285186446782404,actor_normalized,1.1834464073181152,event,total,22,20.534344143469582,True
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,raw,239.25694274902344,decision,own,2,-10.8303665464069,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,raw,239.25694274902344,decision,future,2,5.684341886080802e-14,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,raw,239.25694274902344,decision,total,2,-10.830366546406879,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,raw,239.25694274902344,event,own,2,-10.973232038650536,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,raw,239.25694274902344,event,future,2,5.684341886080802e-14,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,raw,239.25694274902344,event,total,2,-10.973232038650451,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,actor_normalized,0.022295355796813965,decision,own,2,-10.8303665464069,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,actor_normalized,0.022295355796813965,decision,future,2,5.684341886080802e-14,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,actor_normalized,0.022295355796813965,decision,total,2,-10.830366546406879,False
ep001_task138,1,138,medium,0.9,16-28,28,28,1.609807602722027,actor_normalized,0.022295355796813965,event,own,2,-10.973232038650536,False
