state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,method,action_index,semantics,component,optimal_set_hit,top3_hit,top5_hit,regret,optimal_set_size,conflict_state
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,PPO,19,event,total,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,PPO,20,decision,own,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,PPO,20,decision,future,True,True,True,0.0,19,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,PPO,20,decision,total,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,PPO,20,event,own,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,PPO,20,event,future,True,True,True,0.0,19,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,PPO,20,event,total,True,True,True,0.0,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,PPO,25,decision,own,False,False,False,2.91646872981611,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,PPO,25,decision,future,True,True,True,0.0,28,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,PPO,25,decision,total,False,False,False,2.9164687298161027,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,PPO,25,event,own,False,False,False,2.8640861495356624,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,PPO,25,event,future,True,True,True,0.0,28,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,PPO,25,event,total,False,False,False,2.864086149535666,7,False
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,PPO,21,decision,own,False,False,False,1.5669824732819464,7,False
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,PPO,21,decision,future,False,False,False,1.057226616212759,18,False
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,PPO,21,decision,total,False,False,False,2.624209089494684,6,False
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,PPO,21,event,own,False,False,False,1.5508652208031606,7,False
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,PPO,21,event,future,False,False,False,1.061193069645924,18,False
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,PPO,21,event,total,False,False,False,2.6120582904490703,6,False
ep003_task138,3,138,low,0.9,16-28,28,28,0.0,PPO,19,decision,own,False,False,False,4.982327811907723,7,False
ep003_task138,3,138,low,0.9,16-28,28,28,0.0,PPO,19,decision,future,True,True,True,0.0,28,False
ep003_task138,3,138,low,0.9,16-28,28,28,0.0,PPO,19,decision,total,False,False,False,4.98232781190768,7,False
ep003_task138,3,138,low,0.9,16-28,28,28,0.0,PPO,19,event,own,False,False,False,5.125449203325857,7,False
ep003_task138,3,138,low,0.9,16-28,28,28,0.0,PPO,19,event,future,True,True,True,0.0,28,False
ep003_task138,3,138,low,0.9,16-28,28,28,0.0,PPO,19,event,total,False,False,False,5.125449203325843,7,False
ep003_task150,3,150,high,0.9,16-28,28,28,3.074168577100099,PPO,20,decision,own,False,False,False,45.94671256607067,7,False
ep003_task150,3,150,high,0.9,16-28,28,28,3.074168577100099,PPO,20,decision,future,True,True,True,0.0,28,False
ep003_task150,3,150,high,0.9,16-28,28,28,3.074168577100099,PPO,20,decision,total,False,False,False,45.946712566070744,7,False
ep003_task150,3,150,high,0.9,16-28,28,28,3.074168577100099,PPO,20,event,own,False,False,False,46.99092298451957,7,False
ep003_task150,3,150,high,0.9,16-28,28,28,3.074168577100099,PPO,20,event,future,True,True,True,0.0,28,False
ep003_task150,3,150,high,0.9,16-28,28,28,3.074168577100099,PPO,20,event,total,False,False,False,46.990922984519614,7,False
ep003_task163,3,163,medium,0.9,16-28,28,28,1.2618329731323503,PPO,23,decision,own,False,False,False,15.163206419012717,7,False
ep003_task163,3,163,medium,0.9,16-28,28,28,1.2618329731323503,PPO,23,decision,future,False,False,False,20.4638852545109,21,False
ep003_task163,3,163,medium,0.9,16-28,28,28,1.2618329731323503,PPO,23,decision,total,False,False,False,35.62709167352358,6,False
ep003_task163,3,163,medium,0.9,16-28,28,28,1.2618329731323503,PPO,23,event,own,False,False,False,15.529636912579065,7,False
ep003_task163,3,163,medium,0.9,16-28,28,28,1.2618329731323503,PPO,23,event,future,False,False,False,19.508625729263287,21,False
ep003_task163,3,163,medium,0.9,16-28,28,28,1.2618329731323503,PPO,23,event,total,False,False,False,35.03826264184232,6,False
ep003_task175,3,175,high,0.9,16-28,28,28,2.257058223648748,PPO,20,decision,own,False,False,False,5.622759928255867,7,True
ep003_task175,3,175,high,0.9,16-28,28,28,2.257058223648748,PPO,20,decision,future,False,False,False,1.1536756304175242,6,True
ep003_task175,3,175,high,0.9,16-28,28,28,2.257058223648748,PPO,20,decision,total,False,False,True,1.153675630417581,3,True
ep003_task175,3,175,high,0.9,16-28,28,28,2.257058223648748,PPO,20,event,own,False,False,False,5.561759821106158,7,True
ep003_task175,3,175,high,0.9,16-28,28,28,2.257058223648748,PPO,20,event,future,False,False,False,1.2062847782119093,6,True
ep003_task175,3,175,high,0.9,16-28,28,28,2.257058223648748,PPO,20,event,total,False,False,True,1.2062847782119093,3,True
ep003_task188,3,188,low,0.99,16-28,28,28,0.0,PPO,20,decision,own,True,True,True,0.0,7,False
ep003_task188,3,188,low,0.99,16-28,28,28,0.0,PPO,20,decision,future,False,False,False,9.975354300521047,21,False
ep003_task188,3,188,low,0.99,16-28,28,28,0.0,PPO,20,decision,total,False,False,False,9.975354300521019,6,False
ep003_task188,3,188,low,0.99,16-28,28,28,0.0,PPO,20,event,own,True,True,True,0.0,7,False
ep003_task188,3,188,low,0.99,16-28,28,28,0.0,PPO,20,event,future,False,False,False,10.070112419253746,21,False
ep003_task188,3,188,low,0.99,16-28,28,28,0.0,PPO,20,event,total,False,False,False,10.070112419253746,6,False
ep003_task200,3,200,medium,0.9999,1-5,3,3,0.6206741833204481,PPO,23,decision,own,False,True,True,0.9174041218102289,2,False
ep003_task200,3,200,medium,0.9999,1-5,3,3,0.6206741833204481,PPO,23,decision,future,True,True,True,0.0,3,False
ep003_task200,3,200,medium,0.9999,1-5,3,3,0.6206741833204481,PPO,23,decision,total,False,True,True,0.9174041218102289,2,False
ep003_task200,3,200,medium,0.9999,1-5,3,3,0.6206741833204481,PPO,23,event,own,False,True,True,0.9162457425315509,2,False
ep003_task200,3,200,medium,0.9999,1-5,3,3,0.6206741833204481,PPO,23,event,future,True,True,True,0.0,3,False
ep003_task200,3,200,medium,0.9999,1-5,3,3,0.6206741833204481,PPO,23,event,total,False,True,True,0.9162457425315509,2,False
ep006_task001,6,1,low,0.99,16-28,28,28,0.0,PPO,24,decision,own,False,False,False,14.057327830074001,7,False
ep006_task001,6,1,low,0.99,16-28,28,28,0.0,PPO,24,decision,future,True,True,True,0.0,28,False
ep006_task001,6,1,low,0.99,16-28,28,28,0.0,PPO,24,decision,total,False,False,False,14.057327830073973,7,False
ep006_task001,6,1,low,0.99,16-28,28,28,0.0,PPO,24,event,own,False,False,False,14.770356392977035,7,False
ep006_task001,6,1,low,0.99,16-28,28,28,0.0,PPO,24,event,future,True,True,True,0.0,28,False
ep006_task001,6,1,low,0.99,16-28,28,28,0.0,PPO,24,event,total,False,False,False,14.770356392977021,7,False
ep006_task013,6,13,high,0.999,16-28,27,27,2.096893905770677,PPO,11,decision,own,False,False,False,3.2405673226541296,7,False
ep006_task013,6,13,high,0.999,16-28,27,27,2.096893905770677,PPO,11,decision,future,True,True,True,0.0,20,False
ep006_task013,6,13,high,0.999,16-28,27,27,2.096893905770677,PPO,11,decision,total,False,False,False,3.240567322654215,6,False
ep006_task013,6,13,high,0.999,16-28,27,27,2.096893905770677,PPO,11,event,own,False,False,False,3.36360162566271,7,False
ep006_task013,6,13,high,0.999,16-28,27,27,2.096893905770677,PPO,11,event,future,True,True,True,0.0,20,False
ep006_task013,6,13,high,0.999,16-28,27,27,2.096893905770677,PPO,11,event,total,False,False,False,3.3636016256627386,6,False
ep006_task026,6,26,medium,0.9999,6-15,15,15,1.1137694396160658,PPO,4,decision,own,False,False,False,1.9224889563032264,6,True
ep006_task026,6,26,medium,0.9999,6-15,15,15,1.1137694396160658,PPO,4,decision,future,True,True,True,0.0,5,True
ep006_task026,6,26,medium,0.9999,6-15,15,15,1.1137694396160658,PPO,4,decision,total,True,True,True,0.0,4,True
ep006_task026,6,26,medium,0.9999,6-15,15,15,1.1137694396160658,PPO,4,event,own,False,False,False,1.9942274937701114,6,True
ep006_task026,6,26,medium,0.9999,6-15,15,15,1.1137694396160658,PPO,4,event,future,True,True,True,0.0,5,True
ep006_task026,6,26,medium,0.9999,6-15,15,15,1.1137694396160658,PPO,4,event,total,True,True,True,0.0,4,True
ep006_task038,6,38,low,0.99,16-28,28,28,0.0,PPO,20,decision,own,True,True,True,0.0,7,False
ep006_task038,6,38,low,0.99,16-28,28,28,0.0,PPO,20,decision,future,True,True,True,0.0,21,False
ep006_task038,6,38,low,0.99,16-28,28,28,0.0,PPO,20,decision,total,True,True,True,0.0,6,False
ep006_task038,6,38,low,0.99,16-28,28,28,0.0,PPO,20,event,own,True,True,True,0.0,7,False
ep006_task038,6,38,low,0.99,16-28,28,28,0.0,PPO,20,event,future,True,True,True,0.0,21,False
ep006_task038,6,38,low,0.99,16-28,28,28,0.0,PPO,20,event,total,True,True,True,0.0,6,False
ep006_task051,6,51,low,0.999,16-28,23,23,0.0,PPO,15,decision,own,True,True,True,0.0,7,False
ep006_task051,6,51,low,0.999,16-28,23,23,0.0,PPO,15,decision,future,True,True,True,0.0,23,False
ep006_task051,6,51,low,0.999,16-28,23,23,0.0,PPO,15,decision,total,True,True,True,0.0,7,False
