state_id,positive_fraction,negative_fraction,near_zero_fraction,within_state_sign_diversity
ep197_task051,,,1.0,0
ep197_task063,0.75,0.25,0.0,2
ep197_task076,0.3333333333333333,0.6666666666666666,0.0,2
ep197_task088,,,1.0,0
ep197_task100,0.8333333333333334,0.16666666666666666,0.0,2
ep197_task113,,,1.0,0
ep197_task125,0.5333333333333333,0.4666666666666667,0.0,2
ep197_task138,,,1.0,0
ep197_task150,,,1.0,0
ep197_task163,,,1.0,0
ep197_task175,0.75,0.25,0.0,2
ep197_task188,0.75,0.25,0.0,2
ep197_task200,,,1.0,0
ep202_task001,,,1.0,0
ep202_task013,,,1.0,0
ep202_task026,,,1.0,0
ep202_task038,,,1.0,0
ep202_task051,0.7407407407407407,0.25925925925925924,0.0,2
ep202_task063,,,1.0,0
ep202_task076,,,1.0,0
ep202_task088,,,1.0,0
ep202_task100,,,1.0,0
ep202_task113,0.7142857142857143,0.2857142857142857,0.0,2
ep202_task125,0.5882352941176471,0.4117647058823529,0.0,2
ep202_task138,0.75,0.25,0.0,2
ep202_task150,,,1.0,0
ep202_task163,0.75,0.25,0.0,2
ep202_task175,0.75,0.25,0.0,2
ep202_task188,,,1.0,0
ep202_task200,,,1.0,0
ep203_task001,,,1.0,0
ep203_task013,0.5357142857142857,0.4642857142857143,0.0,2
ep203_task026,,,1.0,0
ep203_task038,0.75,0.25,0.0,2
ep203_task051,0.72,0.28,0.0,2
ep203_task063,0.5357142857142857,0.4642857142857143,0.0,2
ep203_task076,,,1.0,0
ep203_task088,,,1.0,0
ep203_task100,0.5625,0.4375,0.0,2
ep203_task113,0.7037037037037037,0.2962962962962963,0.0,2
ep203_task125,0.8636363636363636,0.13636363636363635,0.0,2
ep203_task138,0.75,0.25,0.0,2
ep203_task150,0.75,0.25,0.0,2
ep203_task163,0.75,0.25,0.0,2
ep203_task175,0.75,0.25,0.0,2
ep203_task188,,,1.0,0
ep203_task200,,,1.0,0
ep204_task001,,,1.0,0
ep204_task014,0.75,0.25,0.0,2
ep204_task028,0.5357142857142857,0.4642857142857143,0.0,2
ep204_task041,0.75,0.25,0.0,2
ep204_task054,,,1.0,0
ep204_task067,0.75,0.25,0.0,2
ep204_task081,0.75,0.25,0.0,2
ep204_task094,0.72,0.28,0.0,2
ep204_task107,0.7142857142857143,0.2857142857142857,0.0,2
ep204_task120,,,1.0,0
ep204_task134,,,1.0,0
ep204_task147,,,1.0,0
