state_id,method,reference,candidate_count,spearman,pearson,top1_hit,top3_optimal_overlap,top5_optimal_overlap,top3_reference_overlap,top5_reference_overlap,best_action_index,reference_regret,reference_optimal_set_size
ep001_task088,PPOActor,OwnEvent,24,0.021213617768114715,-0.061152857826486,False,0.0,0.0,0.0,0.0,27,21.93579495284,6
ep001_task088,CenteredAdvantage,OwnEvent,24,0.21699763175300676,0.29359606287111045,True,0.3333333333333333,0.2,0.3333333333333333,0.2,23,0.0,6
ep001_task088,OldQ,OwnEvent,24,-0.09349283002869081,0.008036520962354519,False,0.0,0.0,0.0,0.0,5,6.594838028423112,6
ep001_task088,SafeMin,FutureEvent,24,0.3311415580349294,0.2305601949711579,True,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,4,0.0,17
ep001_task088,PPOActor,FutureEvent,24,-0.45688017663094044,-0.5009129234790154,False,0.3333333333333333,0.4,0.3333333333333333,0.4,27,4.407534026744088,17
ep001_task088,CenteredAdvantage,FutureEvent,24,-0.36417985093770616,-0.3121374145405847,False,0.0,0.4,0.0,0.4,23,4.407534026744088,17
ep001_task088,OldQ,FutureEvent,24,-0.4238650720535598,-0.38613917278854154,False,0.0,0.4,0.0,0.4,5,4.407534026744088,17
ep001_task088,SafeMin,TotalEvent,24,-0.15544084123592275,0.028403054430775402,True,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,4,6.594838028423084,5
ep001_task088,PPOActor,TotalEvent,24,0.00044017427308321527,-0.12173146891851387,False,0.0,0.0,0.0,0.0,27,26.343328979584072,5
ep001_task088,CenteredAdvantage,TotalEvent,24,0.17827058059870218,0.26161692397668485,False,0.0,0.0,0.0,0.0,23,4.407534026744031,5
ep001_task088,OldQ,TotalEvent,24,-0.1270178933720439,-0.03770200707943086,False,0.0,0.0,0.0,0.0,5,11.0023720551672,5
ep001_task100,SafeMin,OwnEvent,17,1.0,0.9854773265673789,True,1.0,1.0,1.0,1.0,12,0.0,6
ep001_task100,PPOActor,OwnEvent,17,0.2595596311324362,0.2852084287954027,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,6
ep001_task100,CenteredAdvantage,OwnEvent,17,0.39697355349666713,0.5116931787618528,True,0.6666666666666666,0.6,0.6666666666666666,0.6,21,0.0,6
ep001_task100,OldQ,OwnEvent,17,-0.4440505454177463,-0.48196783548915784,False,0.3333333333333333,0.2,0.3333333333333333,0.2,11,40.14741679594078,6
ep001_task100,SafeMin,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,12,0.0,17
ep001_task100,PPOActor,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,27,0.0,17
ep001_task100,CenteredAdvantage,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,21,0.0,17
ep001_task100,OldQ,FutureEvent,17,,,True,1.0,1.0,1.0,1.0,11,0.0,17
ep001_task100,SafeMin,TotalEvent,17,1.0,0.9854773265673786,True,1.0,1.0,1.0,1.0,12,0.0,6
ep001_task100,PPOActor,TotalEvent,17,0.2595596311324362,0.28520842879540276,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,6
ep001_task100,CenteredAdvantage,TotalEvent,17,0.39697355349666713,0.5116931787618526,True,0.6666666666666666,0.6,0.6666666666666666,0.6,21,0.0,6
ep001_task100,OldQ,TotalEvent,17,-0.4440505454177463,-0.48196783548915784,False,0.3333333333333333,0.2,0.3333333333333333,0.2,11,40.14741679594081,6
ep001_task113,SafeMin,OwnEvent,25,0.9999999999999999,0.9923556766579471,True,1.0,1.0,1.0,1.0,6,0.0,7
ep001_task113,PPOActor,OwnEvent,25,0.6370572479645277,0.5590224593269635,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task113,CenteredAdvantage,OwnEvent,25,0.8878640878615638,0.948981710560199,True,0.6666666666666666,0.6,0.6666666666666666,0.6,21,0.0,7
ep001_task113,OldQ,OwnEvent,25,0.2819116128199023,0.38291945723009785,False,0.0,0.4,0.0,0.4,5,2.8640861495356624,7
ep001_task113,SafeMin,FutureEvent,25,-0.25723650358833816,-0.39539376888417277,True,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,6,0.0,12
ep001_task113,PPOActor,FutureEvent,25,-0.5515017231149343,-0.5967537325331143,False,0.0,0.2,0.0,0.2,27,18.03042792990948,12
ep001_task113,CenteredAdvantage,FutureEvent,25,-0.4482750769539734,-0.47626552200936273,True,0.3333333333333333,0.4,0.3333333333333333,0.4,21,0.0,12
ep001_task113,OldQ,FutureEvent,25,-0.24511187693997077,-0.21595667343767272,False,0.0,0.4,0.0,0.4,5,18.03042792990948,12
ep001_task113,SafeMin,TotalEvent,25,0.08226528910691909,0.05419077049830288,True,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,6,0.0,5
ep001_task113,PPOActor,TotalEvent,25,-0.333477206512052,-0.36796992985923854,False,0.0,0.2,0.0,0.2,27,18.030427929909422,5
ep001_task113,CenteredAdvantage,TotalEvent,25,-0.15955661452439274,-0.05275579357637296,True,0.3333333333333333,0.4,0.3333333333333333,0.4,21,0.0,5
ep001_task113,OldQ,TotalEvent,25,-0.17353237638054392,-0.046624615669064645,False,0.0,0.4,0.0,0.4,5,20.894514079445116,5
ep001_task125,SafeMin,OwnEvent,22,1.0,0.99634697452216,True,1.0,1.0,1.0,1.0,5,0.0,7
ep001_task125,PPOActor,OwnEvent,22,0.4940045127286028,0.5340258165898624,True,0.6666666666666666,0.8,0.6666666666666666,0.8,25,0.0,7
ep001_task125,CenteredAdvantage,OwnEvent,22,0.5810100356559807,0.6042120165792817,True,0.6666666666666666,0.6,0.6666666666666666,0.6,23,0.0,7
ep001_task125,OldQ,OwnEvent,22,0.17591189175489674,0.1728469578615608,True,0.6666666666666666,0.6,0.6666666666666666,0.6,5,0.0,7
ep001_task125,SafeMin,FutureEvent,22,-0.7227552531008553,-0.8166998839086205,False,0.0,0.0,0.0,0.0,5,43.279593835470735,9
ep001_task125,PPOActor,FutureEvent,22,-0.5692279463131337,-0.5486194688291451,False,0.0,0.0,0.0,0.0,25,43.279593835470735,9
ep001_task125,CenteredAdvantage,FutureEvent,22,-0.7381524361281075,-0.6302950146944789,False,0.0,0.0,0.0,0.0,23,43.279593835470735,9
ep001_task125,OldQ,FutureEvent,22,-0.32384807944743027,-0.3206009830670856,False,0.0,0.0,0.0,0.0,5,43.279593835470735,9
ep001_task125,SafeMin,TotalEvent,22,-0.5430421469444171,-0.733065631424299,False,0.0,0.0,0.0,0.0,5,38.3701709494253,5
ep001_task125,PPOActor,TotalEvent,22,-0.4604143609978094,-0.5271479413893507,False,0.0,0.0,0.0,0.0,25,38.3701709494253,5
ep001_task125,CenteredAdvantage,TotalEvent,22,-0.6117676390171646,-0.6080175327738887,False,0.0,0.0,0.0,0.0,23,38.3701709494253,5
ep001_task125,OldQ,TotalEvent,22,-0.27694543042696773,-0.3437779756194872,False,0.0,0.0,0.0,0.0,5,38.3701709494253,5
ep001_task138,SafeMin,OwnEvent,28,0.9999999999999998,0.9945167916528507,True,1.0,1.0,1.0,1.0,6,0.0,7
ep001_task138,PPOActor,OwnEvent,28,0.4885185161613762,0.4806623510309193,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task138,CenteredAdvantage,OwnEvent,28,0.5645536101819325,0.573834984362639,True,0.6666666666666666,0.8,0.6666666666666666,0.8,21,0.0,7
ep001_task138,OldQ,OwnEvent,28,-0.09135351955583318,0.006671568392562345,False,0.0,0.0,0.0,0.0,5,25.53766733037443,7
ep001_task138,SafeMin,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,6,0.0,28
ep001_task138,PPOActor,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,27,0.0,28
ep001_task138,CenteredAdvantage,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,21,0.0,28
ep001_task138,OldQ,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,5,0.0,28
ep001_task138,SafeMin,TotalEvent,28,0.9999999999999998,0.9945167916528509,True,1.0,1.0,1.0,1.0,6,0.0,7
ep001_task138,PPOActor,TotalEvent,28,0.4885185161613762,0.4806623510309194,True,0.6666666666666666,0.6,0.6666666666666666,0.6,27,0.0,7
ep001_task138,CenteredAdvantage,TotalEvent,28,0.5645536101819325,0.5738349843626395,True,0.6666666666666666,0.8,0.6666666666666666,0.8,21,0.0,7
ep001_task138,OldQ,TotalEvent,28,-0.09135351955583318,0.00667156839256222,False,0.0,0.0,0.0,0.0,5,25.537667330374404,7
ep001_task150,SafeMin,OwnEvent,28,0.9999999999999998,0.9851178521096184,True,1.0,1.0,1.0,1.0,4,0.0,7
ep001_task150,PPOActor,OwnEvent,28,0.26988280624878763,0.14051532211010734,False,0.6666666666666666,0.6,0.6666666666666666,0.6,27,34.85606059608475,7
ep001_task150,CenteredAdvantage,OwnEvent,28,0.10639342826319595,0.1963528151437226,False,0.0,0.2,0.0,0.2,21,6.823912834598218,7
ep001_task150,OldQ,OwnEvent,28,-0.28715084957946346,-0.11423525938076315,False,0.0,0.0,0.0,0.0,5,26.363118161430208,7
ep001_task150,SafeMin,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,4,0.0,28
ep001_task150,PPOActor,FutureEvent,28,,,True,1.0,1.0,1.0,1.0,27,0.0,28
