state_id,episode,task_id,load,requirement,safe_set_bin,safe_set_size,effective_set_size,max_backlog,method,action_index,semantics,component,optimal_set_hit,top3_hit,top5_hit,regret,optimal_set_size,conflict_state
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,SafeMin,5,decision,future,True,True,True,0.0,18,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,SafeMin,5,event,own,True,True,True,0.0,7,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,SafeMin,5,event,future,True,True,True,0.0,18,False
ep003_task026,3,26,high,0.9999,16-28,18,18,2.088563120345758,SafeMin,5,event,total,True,True,True,0.0,7,False
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,future,False,False,False,6.201250163954512,21,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,SafeMin,5,decision,total,False,False,False,0.7916501622187297,6,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,SafeMin,5,event,own,True,True,True,0.0,7,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,SafeMin,5,event,future,False,False,False,6.423302526285909,21,True
ep003_task038,3,38,low,0.99,16-28,28,28,0.0,SafeMin,5,event,total,False,False,False,0.763716668338418,6,True
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,SafeMin,5,decision,future,True,True,True,0.0,15,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,SafeMin,5,decision,total,True,True,True,0.0,5,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,SafeMin,5,event,future,True,True,True,0.0,15,False
ep003_task051,3,51,low,0.999,16-28,28,28,0.0,SafeMin,5,event,total,True,True,True,0.0,5,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,SafeMin,4,decision,own,False,False,False,23.033027812418766,7,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,SafeMin,4,decision,future,True,True,True,0.0,21,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,SafeMin,4,decision,total,False,False,False,23.033027812418766,6,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,SafeMin,4,event,own,False,False,False,24.0657293313839,7,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,SafeMin,4,event,future,True,True,True,0.0,21,False
ep003_task063,3,63,high,0.999,16-28,28,28,2.2519178358284364,SafeMin,4,event,total,False,False,False,24.065729331383977,6,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,SafeMin,5,decision,future,True,True,True,0.0,18,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,SafeMin,5,event,own,True,True,True,0.0,7,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,SafeMin,5,event,future,True,True,True,0.0,18,False
ep003_task076,3,76,low,0.9999,16-28,18,18,0.0,SafeMin,5,event,total,True,True,True,0.0,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,SafeMin,2,decision,own,True,True,True,0.0,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,SafeMin,2,decision,future,True,True,True,0.0,28,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,SafeMin,2,decision,total,True,True,True,0.0,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,SafeMin,2,event,own,True,True,True,0.0,7,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,SafeMin,2,event,future,True,True,True,0.0,28,False
ep003_task088,3,88,high,0.9999,16-28,28,28,2.3986596399360733,SafeMin,2,event,total,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,SafeMin,5,decision,own,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,SafeMin,5,decision,future,True,True,True,0.0,19,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,SafeMin,5,decision,total,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,SafeMin,5,event,own,True,True,True,0.0,7,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,SafeMin,5,event,future,True,True,True,0.0,19,False
ep003_task100,3,100,high,0.9999,16-28,19,19,3.0174998183985284,SafeMin,5,event,total,True,True,True,0.0,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,SafeMin,6,decision,own,True,True,True,0.0,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,SafeMin,6,decision,future,True,True,True,0.0,28,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,SafeMin,6,decision,total,True,True,True,0.0,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,SafeMin,6,event,own,True,True,True,0.0,7,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,SafeMin,6,event,future,True,True,True,0.0,28,False
ep003_task113,3,113,low,0.99,16-28,28,28,0.0,SafeMin,6,event,total,True,True,True,0.0,7,False
ep003_task125,3,125,high,0.999,16-28,25,25,3.3622540470970472,SafeMin,5,decision,own,True,True,True,0.0,7,False
