state_id,horizon,selected_branch_return_residual
ep011_task038,50,0.0
ep011_task051,5,0.0
ep011_task051,10,0.0
ep011_task051,20,0.0
ep011_task051,50,0.0
ep011_task063,5,0.0
ep011_task063,10,0.0
ep011_task063,20,0.0
ep011_task063,50,0.0
ep011_task076,5,0.0
ep011_task076,10,0.0
ep011_task076,20,5.684341886080802e-14
ep011_task076,50,0.0
ep011_task088,5,0.0
ep011_task088,10,0.0
ep011_task088,20,0.0
ep011_task088,50,0.0
ep011_task100,5,0.0
ep011_task100,10,2.842170943040401e-14
ep011_task100,20,2.842170943040401e-14
ep011_task100,50,0.0
ep011_task113,5,0.0
ep011_task113,10,0.0
ep011_task113,20,0.0
ep011_task113,50,5.684341886080802e-14
ep011_task125,5,0.0
ep011_task125,10,0.0
ep011_task125,20,5.684341886080802e-14
ep011_task125,50,0.0
ep011_task138,5,0.0
ep011_task138,10,0.0
ep011_task138,20,0.0
ep011_task138,50,0.0
ep011_task150,5,0.0
ep011_task150,10,0.0
ep011_task150,20,0.0
ep011_task150,50,0.0
ep011_task163,5,2.842170943040401e-14
ep011_task163,10,2.842170943040401e-14
ep011_task163,20,5.684341886080802e-14
ep011_task163,50,0.0
ep011_task175,5,0.0
ep011_task175,10,2.842170943040401e-14
ep011_task175,20,0.0
ep011_task175,50,0.0
ep011_task188,5,0.0
ep011_task188,10,5.684341886080802e-14
ep011_task188,20,0.0
ep011_task188,50,0.0
ep011_task200,5,0.0
ep011_task200,10,0.0
ep011_task200,20,0.0
ep011_task200,50,0.0
ep017_task001,5,0.0
ep017_task001,10,0.0
ep017_task001,20,5.684341886080802e-14
ep017_task001,50,0.0
ep017_task013,5,0.0
ep017_task013,10,0.0
ep017_task013,20,5.684341886080802e-14
ep017_task013,50,0.0
ep017_task026,5,2.842170943040401e-14
ep017_task026,10,2.842170943040401e-14
ep017_task026,20,0.0
ep017_task026,50,0.0
ep017_task038,5,0.0
ep017_task038,10,5.684341886080802e-14
ep017_task038,20,0.0
ep017_task038,50,0.0
ep017_task051,5,5.684341886080802e-14
ep017_task051,10,0.0
ep017_task051,20,0.0
ep017_task051,50,5.684341886080802e-14
ep017_task063,5,0.0
ep017_task063,10,0.0
ep017_task063,20,0.0
ep017_task063,50,0.0
ep017_task076,5,0.0
ep017_task076,10,0.0
ep017_task076,20,0.0
ep017_task076,50,0.0
ep017_task088,5,0.0
ep017_task088,10,0.0
ep017_task088,20,5.684341886080802e-14
ep017_task088,50,0.0
ep017_task100,5,0.0
ep017_task100,10,5.684341886080802e-14
ep017_task100,20,5.684341886080802e-14
ep017_task100,50,0.0
ep017_task113,5,0.0
ep017_task113,10,0.0
ep017_task113,20,0.0
ep017_task113,50,0.0
ep017_task125,5,0.0
ep017_task125,10,0.0
ep017_task125,20,0.0
ep017_task125,50,0.0
ep017_task138,5,2.842170943040401e-14
ep017_task138,10,0.0
ep017_task138,20,0.0
ep017_task138,50,0.0
ep017_task150,5,2.842170943040401e-14
ep017_task150,10,0.0
ep017_task150,20,0.0
ep017_task150,50,0.0
ep017_task163,5,0.0
ep017_task163,10,2.842170943040401e-14
ep017_task163,20,0.0
ep017_task163,50,2.842170943040401e-14
ep017_task175,5,0.0
ep017_task175,10,0.0
ep017_task175,20,0.0
ep017_task175,50,0.0
ep017_task188,5,0.0
ep017_task188,10,0.0
ep017_task188,20,0.0
ep017_task188,50,0.0
ep017_task200,5,0.0
ep017_task200,10,0.0
ep017_task200,20,0.0
ep017_task200,50,0.0
ep032_task001,5,0.0
ep032_task001,10,5.684341886080802e-14
ep032_task001,20,0.0
ep032_task001,50,0.0
ep032_task013,5,0.0
ep032_task013,10,5.684341886080802e-14
ep032_task013,20,0.0
ep032_task013,50,5.684341886080802e-14
ep032_task026,5,5.684341886080802e-14
ep032_task026,10,0.0
ep032_task026,20,5.684341886080802e-14
ep032_task026,50,0.0
ep032_task038,5,2.842170943040401e-14
ep032_task038,10,0.0
ep032_task038,20,0.0
ep032_task038,50,0.0
ep032_task051,5,0.0
ep032_task051,10,0.0
ep032_task051,20,0.0
ep032_task051,50,5.684341886080802e-14
ep032_task063,5,0.0
ep032_task063,10,0.0
ep032_task063,20,5.684341886080802e-14
ep032_task063,50,5.684341886080802e-14
ep032_task076,5,0.0
ep032_task076,10,5.684341886080802e-14
ep032_task076,20,0.0
ep032_task076,50,0.0
ep032_task088,5,0.0
ep032_task088,10,0.0
ep032_task088,20,0.0
ep032_task088,50,0.0
ep032_task100,5,0.0
ep032_task100,10,0.0
ep032_task100,20,0.0
ep032_task100,50,5.684341886080802e-14
ep032_task113,5,0.0
ep032_task113,10,0.0
ep032_task113,20,0.0
ep032_task113,50,0.0
ep032_task125,5,0.0
ep032_task125,10,0.0
ep032_task125,20,0.0
ep032_task125,50,5.684341886080802e-14
ep032_task138,5,0.0
ep032_task138,10,0.0
ep032_task138,20,0.0
ep032_task138,50,0.0
ep032_task150,5,0.0
ep032_task150,10,0.0
ep032_task150,20,0.0
ep032_task150,50,0.0
ep032_task163,5,0.0
ep032_task163,10,0.0
ep032_task163,20,0.0
ep032_task163,50,5.684341886080802e-14
ep032_task175,5,2.842170943040401e-14
ep032_task175,10,0.0
ep032_task175,20,0.0
ep032_task175,50,0.0
ep032_task188,5,5.684341886080802e-14
ep032_task188,10,0.0
ep032_task188,20,2.842170943040401e-14
ep032_task188,50,2.842170943040401e-14
ep032_task200,5,0.0
ep032_task200,10,0.0
ep032_task200,20,0.0
ep032_task200,50,0.0
ep036_task001,5,5.684341886080802e-14
ep036_task001,10,5.684341886080802e-14
ep036_task001,20,0.0
ep036_task001,50,0.0
ep036_task013,5,5.684341886080802e-14
ep036_task013,10,0.0
ep036_task013,20,0.0
ep036_task013,50,0.0
ep036_task026,5,0.0
ep036_task026,10,5.684341886080802e-14
ep036_task026,20,0.0
ep036_task026,50,0.0
ep036_task038,5,0.0
ep036_task038,10,5.684341886080802e-14
ep036_task038,20,0.0
ep036_task038,50,0.0
ep036_task051,5,0.0
ep036_task051,10,0.0
ep036_task051,20,0.0
ep036_task051,50,0.0
ep036_task063,5,0.0
ep036_task063,10,0.0
ep036_task063,20,0.0
ep036_task063,50,0.0
ep036_task076,5,8.526512829121202e-14
ep036_task076,10,8.526512829121202e-14
ep036_task076,20,5.684341886080802e-14
ep036_task076,50,2.842170943040401e-14
ep036_task088,5,0.0
ep036_task088,10,0.0
ep036_task088,20,0.0
ep036_task088,50,0.0
ep036_task100,5,0.0
ep036_task100,10,5.684341886080802e-14
ep036_task100,20,0.0
ep036_task100,50,0.0
ep036_task113,5,0.0
ep036_task113,10,2.842170943040401e-14
ep036_task113,20,5.684341886080802e-14
ep036_task113,50,0.0
ep036_task125,5,2.842170943040401e-14
ep036_task125,10,0.0
ep036_task125,20,5.684341886080802e-14
ep036_task125,50,0.0
ep036_task138,5,0.0
ep036_task138,10,0.0
ep036_task138,20,0.0
ep036_task138,50,0.0
ep036_task150,5,0.0
ep036_task150,10,0.0
ep036_task150,20,0.0
ep036_task150,50,0.0
ep036_task163,5,0.0
ep036_task163,10,0.0
ep036_task163,20,0.0
ep036_task163,50,5.684341886080802e-14
ep036_task175,5,0.0
ep036_task175,10,0.0
ep036_task175,20,0.0
ep036_task175,50,0.0
ep036_task188,5,0.0
ep036_task188,10,0.0
ep036_task188,20,0.0
ep036_task188,50,0.0
ep036_task200,5,3.552713678800501e-15
ep036_task200,10,3.552713678800501e-15
ep036_task200,20,3.552713678800501e-15
ep036_task200,50,3.552713678800501e-15
ep037_task001,5,0.0
ep037_task001,10,0.0
ep037_task001,20,0.0
ep037_task001,50,5.684341886080802e-14
ep037_task013,5,0.0
ep037_task013,10,0.0
ep037_task013,20,5.684341886080802e-14
ep037_task013,50,0.0
ep037_task026,5,0.0
ep037_task026,10,0.0
ep037_task026,20,0.0
ep037_task026,50,0.0
ep037_task038,5,2.842170943040401e-14
ep037_task038,10,0.0
ep037_task038,20,5.684341886080802e-14
ep037_task038,50,0.0
ep037_task051,5,0.0
ep037_task051,10,0.0
ep037_task051,20,0.0
ep037_task051,50,0.0
ep037_task063,5,0.0
ep037_task063,10,5.684341886080802e-14
ep037_task063,20,0.0
ep037_task063,50,0.0
ep037_task076,5,2.842170943040401e-14
ep037_task076,10,2.842170943040401e-14
ep037_task076,20,0.0
ep037_task076,50,5.684341886080802e-14
ep037_task088,5,0.0
ep037_task088,10,0.0
ep037_task088,20,0.0
ep037_task088,50,5.684341886080802e-14
ep037_task100,5,2.842170943040401e-14
ep037_task100,10,0.0
ep037_task100,20,0.0
ep037_task100,50,5.684341886080802e-14
ep037_task113,5,2.842170943040401e-14
ep037_task113,10,0.0
ep037_task113,20,0.0
ep037_task113,50,0.0
ep037_task125,5,0.0
ep037_task125,10,0.0
ep037_task125,20,2.842170943040401e-14
ep037_task125,50,0.0
ep037_task138,5,0.0
ep037_task138,10,0.0
ep037_task138,20,5.684341886080802e-14
ep037_task138,50,0.0
ep037_task150,5,0.0
ep037_task150,10,0.0
ep037_task150,20,0.0
ep037_task150,50,0.0
ep037_task163,5,0.0
ep037_task163,10,5.684341886080802e-14
ep037_task163,20,0.0
ep037_task163,50,0.0
ep037_task175,5,0.0
ep037_task175,10,0.0
ep037_task175,20,0.0
ep037_task175,50,0.0
ep037_task188,5,2.842170943040401e-14
ep037_task188,10,0.0
ep037_task188,20,0.0
ep037_task188,50,0.0
ep037_task200,5,0.0
ep037_task200,10,0.0
ep037_task200,20,0.0
ep037_task200,50,0.0
ep044_task001,5,5.684341886080802e-14
ep044_task001,10,0.0
ep044_task001,20,0.0
ep044_task001,50,0.0
ep044_task013,5,0.0
ep044_task013,10,0.0
ep044_task013,20,0.0
ep044_task013,50,0.0
ep044_task026,5,0.0
ep044_task026,10,0.0
ep044_task026,20,0.0
ep044_task026,50,0.0
ep044_task038,5,0.0
ep044_task038,10,0.0
ep044_task038,20,0.0
ep044_task038,50,0.0
ep044_task051,5,0.0
ep044_task051,10,0.0
ep044_task051,20,0.0
ep044_task051,50,5.684341886080802e-14
ep044_task063,5,0.0
ep044_task063,10,0.0
ep044_task063,20,5.684341886080802e-14
ep044_task063,50,0.0
ep044_task076,5,2.842170943040401e-14
ep044_task076,10,0.0
ep044_task076,20,0.0
ep044_task076,50,0.0
ep044_task088,5,0.0
ep044_task088,10,0.0
ep044_task088,20,0.0
ep044_task088,50,0.0
ep044_task100,5,0.0
ep044_task100,10,0.0
ep044_task100,20,0.0
ep044_task100,50,0.0
ep044_task113,5,0.0
ep044_task113,10,0.0
ep044_task113,20,0.0
ep044_task113,50,0.0
ep044_task125,5,2.842170943040401e-14
ep044_task125,10,0.0
ep044_task125,20,0.0
ep044_task125,50,0.0
ep044_task138,5,5.684341886080802e-14
ep044_task138,10,0.0
ep044_task138,20,0.0
ep044_task138,50,0.0
ep044_task150,5,0.0
ep044_task150,10,0.0
ep044_task150,20,0.0
ep044_task150,50,0.0
ep044_task163,5,0.0
ep044_task163,10,0.0
ep044_task163,20,0.0
ep044_task163,50,0.0
ep044_task175,5,0.0
ep044_task175,10,0.0
ep044_task175,20,0.0
ep044_task175,50,0.0
ep044_task188,5,0.0
ep044_task188,10,5.684341886080802e-14
ep044_task188,20,0.0
ep044_task188,50,0.0
ep044_task200,5,0.0
ep044_task200,10,0.0
ep044_task200,20,0.0
ep044_task200,50,0.0
ep057_task001,5,0.0
ep057_task001,10,0.0
ep057_task001,20,0.0
ep057_task001,50,0.0
ep057_task013,5,0.0
ep057_task013,10,5.684341886080802e-14
ep057_task013,20,5.684341886080802e-14
ep057_task013,50,5.684341886080802e-14
ep057_task026,5,0.0
ep057_task026,10,0.0
ep057_task026,20,0.0
ep057_task026,50,0.0
ep057_task038,5,0.0
ep057_task038,10,0.0
ep057_task038,20,5.684341886080802e-14
ep057_task038,50,0.0
ep057_task051,5,0.0
ep057_task051,10,0.0
ep057_task051,20,0.0
ep057_task051,50,0.0
ep057_task063,5,0.0
ep057_task063,10,0.0
ep057_task063,20,0.0
