arm,unit,gradient_updates,split,mae,rmse,pearson,spearman,r2,explained_variance,calibration_slope,calibration_intercept,prediction_mean,prediction_std,target_mean,target_std
V1,290,2320,validation,308.23442627892723,326.920102491823,-0.23560633359473496,-0.2273097601801292,-7.952344210877035,-1.161764574098001e-06,-95562.6227388782,4026162.29955608,42.127475534439085,0.00026938421304506256,350.2481171564442,109.26303011580089
V1,290,2320,test,299.97936254792256,319.114928544876,-0.21848846469893554,-0.2067612696335025,-7.559214230049028,-1.0758767601259933e-06,-88741.53610908912,3738798.8639657334,42.12747497876485,0.0002685540733720219,342.0219529236573,109.07624360043513
V1,300,2400,train,294.2951432325071,313.6440196225903,-0.24509491827599733,-0.23157067921452257,-7.2680707722309865,-1.1244267281718123e-06,-106848.75869082894,4642875.077907649,43.449616255866154,0.00025020716612264533,337.5153754878892,109.07743540259646
V1,300,2400,validation,306.91967561815704,325.67428701130876,-0.23566144359469715,-0.22745796545615832,-7.884243667340753,-1.0845958822169877e-06,-102409.73259656373,4450014.10284481,43.44961891714732,0.0002514319953363926,350.2481171564442,109.26303011580089
V1,300,2400,test,298.66387776303895,317.8727383625954,-0.21852962986872662,-0.20684981700275992,-7.492708545216159,-1.0044107503492938e-06,-95091.47570161473,4132030.356965416,43.44961842823029,0.0002506680116761435,342.0219529236573,109.07624360043513
V2,0,0,train,337.6192936840459,354.77730826163383,-0.24122912598437984,-0.24249331225428986,-9.578932155522915,-0.00014649457437965197,-794.9521965958207,277.83868759121174,-0.0750695301582002,0.03309966878444164,337.5153754878892,109.07743540259646
V2,0,0,validation,350.33452996574397,366.96896266013437,-0.23251446168597786,-0.22963725444337452,-10.280080209584058,-0.00014090756265039417,-767.8534472176019,292.8331636858411,-0.07477332253785184,0.0330860462001086,350.2481171564442,109.26303011580089
V2,0,0,test,342.10613567351766,359.0674273027927,-0.22712442403124597,-0.22805553593340513,-9.83656583271988,-0.00013833830249798673,-746.2873908312893,286.24746012347555,-0.07473594420248021,0.033196164517325016,342.0219529236573,109.07624360043513
V2,10,80,train,333.7105760644962,351.05225983753985,-0.2786160702586316,-0.26084528706701043,-9.35794759420293,-0.0002592151820761668,-599.437608329087,2641.6356111711048,3.8438032643728786,0.050698731583549365,337.5153754878892,109.07743540259646
V2,10,80,validation,346.42029015833265,363.23133742667164,-0.2672183766584632,-0.2546865477219297,-10.051472285729982,-0.00024914301549672224,-573.7097802983509,2555.747519546139,3.8442771556774775,0.05089174097946437,350.2481171564442,109.26303011580089
V2,10,80,test,338.1904468220398,355.3372366737916,-0.2504495592950021,-0.2344370889234363,-9.612582882065023,-0.0002333481449483532,-538.1081100592675,2410.652166083653,3.844265073299408,0.050766930712630304,342.0219529236573,109.07624360043513
V2,20,160,train,331.7225093653821,349.15563261706836,-0.2657145954642096,-0.2485165225106191,-9.24632833286545,-9.596397336597562e-05,-1471.9738379394305,8929.243958216683,5.836875874612066,0.01969020499905584,337.5153754878892,109.07743540259646
V2,20,160,validation,344.4300958800527,361.3287652967344,-0.2546783232266716,-0.24288097691427113,-9.936002312193848,-9.226029397257918e-05,-1406.5445145423548,8560.355000593447,5.837075754483541,0.019783892377989536,350.2481171564442,109.26303011580089
V2,20,160,test,336.19928636665395,353.4387288360803,-0.23751701638700093,-0.22237002653113505,-9.499483292123422,-8.594250469884379e-05,-1313.3387424725647,8008.052388305544,5.837054971019427,0.019726414138900847,342.0219529236573,109.07624360043513
V2,30,240,train,330.2143257916122,347.71884288647647,-0.26033341164400287,-0.24399968962970983,-9.162173718087908,-5.197604206341744e-05,-2608.3739371969928,19506.246573336975,7.348919924590323,0.010886667930078952,337.5153754878892,109.07743540259646
V2,30,240,validation,342.9201398346238,359.88718773846875,-0.24941932450965623,-0.2385274661940632,-9.8489146050098,-4.9954773758242865e-05,-2491.152734559486,18657.812307879525,7.349033215324084,0.010939638821535501,350.2481171564442,109.26303011580089
V2,30,240,test,334.68857391638807,352.0002164169216,-0.2322510522869807,-0.21799872060316122,-9.414190427361376,-4.646038336542091e-05,-2322.501881227765,17410.132508996478,7.349019044518471,0.010907664945494066,342.0219529236573,109.07624360043513
V2,40,320,train,328.79668915084983,346.3691821183055,-0.2575474660249107,-0.24145795676729728,-9.083438444860244,-3.3578127685007786e-05,-3951.327563481715,34991.84806691031,8.770301154401567,0.0071096654572674264,337.5153754878892,109.07743540259646
V2,40,320,validation,341.50068590213976,358.53290338550244,-0.2468475668133174,-0.2361223918615253,-9.767417562385775,-3.228640481056644e-05,-3775.074501545017,33459.071441572785,8.77037613717715,0.007144577707194167,350.2481171564442,109.26303011580089
V2,40,320,test,333.26840791939946,350.64883295532064,-0.22964292028291058,-0.21547114135467282,-9.334380536601046,-3.0000836869215064e-05,-3516.1265806888437,31179.73892016781,8.770365986426672,0.007123915063657007,342.0219529236573,109.07624360043513
V2,50,400,train,327.41414945873936,345.05359332916305,-0.25565154535968887,-0.23977781161562892,-9.006985537002672,-2.375598183257388e-05,-5502.9214588190125,56228.11074693498,10.156531542327668,0.005067456465302709,337.5153754878892,109.07743540259646
V2,50,400,validation,340.1163224355591,357.21272797521,-0.24508668166950853,-0.23461528088503075,-9.688268848082364,-2.2846719366809154e-05,-5258.802518134232,53761.72073071053,10.156584589242936,0.005092207472688685,350.2481171564442,109.26303011580089
V2,50,400,test,331.88335019206255,349.33151460378275,-0.22790276321950287,-0.21391895317018517,-9.256877941847307,-2.121923335685061e-05,-4896.027380115554,50068.90116655013,10.156577027241388,0.005077336254103237,342.0219529236573,109.07624360043513
V2,60,480,train,326.05004994512467,343.756135408134,-0.25428533594948444,-0.23865977844348216,-8.931871220898364,-1.795125775694295e-05,-7204.566995662885,83365.11965568575,11.524301783879597,0.0038498902602411575,337.5153754878892,109.07743540259646
V2,60,480,validation,338.75038669969763,355.91067941948967,-0.2438338014938216,-0.23351651117162606,-9.610492886117088,-1.7267696756917417e-05,-6886.759733821154,79715.62286972874,11.52434204475085,0.003868585666642268,350.2481171564442,109.26303011580089
V2,60,480,test,330.51673005206635,348.0323153997554,-0.22667857326417634,-0.21289459753498546,-9.1807270809148,-1.60334447889543e-05,-6409.99913645172,74213.00486532101,11.52433586025238,0.0038572933864776037,342.0219529236573,109.07624360043513
V2,70,560,train,324.69713899505075,342.4697424343842,-0.25308284517118473,-0.23772696450957143,-8.857676857307412,-1.4124445909313721e-05,-9070.01348570655,117168.47406021466,12.88101267642445,0.003043614845685621,337.5153754878892,109.07743540259646
