lens,horizon,requirement,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
production_smdp,5,0.9,V0,raw,300,300,0.2171773198777599,0.23053434690583574,0.5866666666666667,0.9775983300310372,0.3566666666666667,0.5866666666666667
production_smdp,5,0.9,V0,normalized,300,300,0.20939363793316965,0.23560486740812606,0.59,0.9869048012047248,0.35333333333333333,0.59
production_smdp,5,0.9,V1,raw,300,300,0.21712389050332234,0.23030412123022664,0.5866666666666667,0.9776315592675197,0.3566666666666667,0.5866666666666667
production_smdp,5,0.9,V1,normalized,300,300,0.20933504746011417,0.23563353450479935,0.59,0.9869322616625095,0.35333333333333333,0.59
production_smdp,5,0.9,V2,raw,300,300,0.2171238700858678,0.23030412123022664,0.5866666666666667,0.9776315832984898,0.3566666666666667,0.5866666666666667
production_smdp,5,0.9,V2,normalized,300,300,0.2093350323640596,0.23563353450479935,0.59,0.9869322829088816,0.35333333333333333,0.59
production_smdp,5,0.9,V3,raw,300,300,0.20490494042566318,0.2039788374618821,0.5633333333333334,0.9761600552632782,0.32666666666666666,0.5633333333333334
production_smdp,5,0.9,V3,normalized,300,300,0.1964596348918297,0.20692865948701264,0.5666666666666667,0.9899033061527919,0.31666666666666665,0.5666666666666667
production_smdp,5,0.99,V0,raw,220,220,0.05698918136137351,-0.007171326869044506,0.5545454545454546,1.1005614855811492,0.2409090909090909,0.5545454545454546
production_smdp,5,0.99,V0,normalized,220,220,0.05116833215748901,-0.016873411947178972,0.45,1.111030540471314,0.22727272727272727,0.45
production_smdp,5,0.99,V1,raw,220,220,0.056997898371014176,-0.0071420239461158315,0.5545454545454546,1.1005455791076202,0.2409090909090909,0.5545454545454546
production_smdp,5,0.99,V1,normalized,220,220,0.05118074282320804,-0.017027815810303146,0.45,1.111016446908761,0.22727272727272727,0.45
production_smdp,5,0.99,V2,raw,220,220,0.056997914276664174,-0.0071420239461158315,0.5545454545454546,1.1005455685353014,0.2409090909090909,0.5545454545454546
production_smdp,5,0.99,V2,normalized,220,220,0.051180761951626096,-0.017027815810303146,0.45,1.111016427877622,0.22727272727272727,0.45
production_smdp,5,0.99,V3,raw,220,220,0.10658333012702904,0.060153829112831514,0.5136363636363637,1.051915483361591,0.2772727272727273,0.5136363636363637
production_smdp,5,0.99,V3,normalized,220,220,0.1044838941330683,0.04525780094558946,0.5181818181818182,1.0606675131766041,0.2727272727272727,0.5181818181818182
production_smdp,5,0.999,V0,raw,220,220,0.14991820310869156,0.16374793618951555,0.6227272727272727,1.0285245666110023,0.29545454545454547,0.6227272727272727
production_smdp,5,0.999,V0,normalized,220,220,0.17209027714728645,0.18746893718690655,0.5636363636363636,1.0195809392543567,0.2863636363636364,0.5636363636363636
production_smdp,5,0.999,V1,raw,220,220,0.1498753474563159,0.1636656655190096,0.6227272727272727,1.0285512166936552,0.29545454545454547,0.6227272727272727
production_smdp,5,0.999,V1,normalized,220,220,0.17205241212552783,0.18755458884387166,0.5636363636363636,1.0196103263186262,0.2863636363636364,0.5636363636363636
production_smdp,5,0.999,V2,raw,220,220,0.1498753552067166,0.1636656655190096,0.6227272727272727,1.028551202945228,0.29545454545454547,0.6227272727272727
