lens,horizon,safe_set_bin,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
production_smdp,5,empty,V3,normalized,7,0,,,,0.8678759453982253,0.2857142857142857,0.0
production_smdp,10,1-5,V0,raw,55,37,0.1403409605067175,0.19404876315467703,0.7567567567567568,0.9470508898448068,0.4727272727272727,0.509090909090909
production_smdp,10,1-5,V0,normalized,55,37,0.08783598824068674,0.1579894676830096,0.2972972972972973,0.9559640172247372,0.2909090909090909,0.2
production_smdp,10,1-5,V1,raw,55,37,0.1403105498504215,0.19386927066932166,0.7567567567567568,0.9470605555608644,0.4909090909090909,0.509090909090909
production_smdp,10,1-5,V1,normalized,55,37,0.08782316812381005,0.15582271301232212,0.2972972972972973,0.9559645968140186,0.2909090909090909,0.2
production_smdp,10,1-5,V2,raw,55,37,0.14031055983400237,0.19314939048688773,0.7567567567567568,0.9470605531655247,0.4909090909090909,0.509090909090909
production_smdp,10,1-5,V2,normalized,55,37,0.08782324617164172,0.15582271301232212,0.2972972972972973,0.9559645743986879,0.2909090909090909,0.2
production_smdp,10,1-5,V3,raw,55,37,0.18401175560398278,0.44829259808952526,0.35135135135135137,0.9317220483955255,0.41818181818181815,0.23636363636363636
production_smdp,10,1-5,V3,normalized,55,37,0.14202590039376586,0.3465705733436916,0.2972972972972973,0.9441248074755035,0.3090909090909091,0.2
production_smdp,10,16-28,V0,raw,840,840,0.16438810743717058,0.14816238462983153,0.5964285714285714,1.021178362017488,0.29404761904761906,0.5964285714285714
production_smdp,10,16-28,V0,normalized,840,840,0.16361913335606593,0.1460332697060386,0.5464285714285714,1.0236338605341815,0.2869047619047619,0.5464285714285714
production_smdp,10,16-28,V1,raw,840,840,0.16435589753520344,0.14809388147424485,0.5964285714285714,1.0211923659459652,0.29404761904761906,0.5964285714285714
production_smdp,10,16-28,V1,normalized,840,840,0.16358804324309148,0.14608802566415424,0.5464285714285714,1.0236464656024644,0.2869047619047619,0.5464285714285714
production_smdp,10,16-28,V2,raw,840,840,0.16435588965778167,0.14809388147424485,0.5964285714285714,1.0211923706822696,0.29404761904761906,0.5964285714285714
production_smdp,10,16-28,V2,normalized,840,840,0.163588025155301,0.14608802566415424,0.5464285714285714,1.023646473415099,0.2869047619047619,0.5464285714285714
production_smdp,10,16-28,V3,raw,840,840,0.1648229464321431,0.13919046550268746,0.5345238095238095,1.0168366336231216,0.29285714285714287,0.5345238095238095
production_smdp,10,16-28,V3,normalized,840,840,0.16520201838248622,0.13995902292477966,0.5321428571428571,1.0185105362224642,0.2988095238095238,0.5321428571428571
production_smdp,10,6-15,V0,raw,98,98,0.015567972854567673,0.023838517793161308,0.5714285714285714,1.1533895857244034,0.14285714285714285,0.5714285714285714
production_smdp,10,6-15,V0,normalized,98,98,0.04330924654910428,0.052413467730109846,0.4897959183673469,1.1065428272280022,0.16326530612244897,0.4897959183673469
