lens,horizon,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
production_smdp,20,V0,normalized,1000,975,0.12415133360563382,0.14948173010251614,0.5312820512820513,1.0190042794413265,0.277,0.518
production_smdp,20,V1,raw,1000,975,0.12369657064011001,0.14866743105059751,0.6,1.020519264652918,0.283,0.585
production_smdp,20,V1,normalized,1000,975,0.1241208046963253,0.14950889235947207,0.5312820512820513,1.019009802759845,0.277,0.518
production_smdp,20,V2,raw,1000,975,0.12369656494502487,0.1486671430473874,0.6,1.02051926418861,0.283,0.585
production_smdp,20,V2,normalized,1000,975,0.12412079279179378,0.14950889235947207,0.5312820512820513,1.0190098091228337,0.277,0.518
production_smdp,20,V3,raw,1000,975,0.130683828988473,0.1440559172183937,0.5230769230769231,1.0185569905608434,0.28,0.51
production_smdp,20,V3,normalized,1000,975,0.1317947103558444,0.1476645409118414,0.518974358974359,1.0158767408798348,0.271,0.506
production_smdp,50,V0,raw,1000,975,0.1237273528970952,0.14867189028374939,0.6,1.0205110450590271,0.283,0.585
production_smdp,50,V0,normalized,1000,975,0.12415133360563385,0.14944583462455457,0.5312820512820513,1.0190042794413268,0.277,0.518
production_smdp,50,V1,raw,1000,975,0.12369657064011012,0.14862600346767751,0.6,1.020519264652918,0.283,0.585
production_smdp,50,V1,normalized,1000,975,0.12412080469632542,0.14947316488252588,0.5312820512820513,1.019009802759845,0.277,0.518
production_smdp,50,V2,raw,1000,975,0.123696564945025,0.14862571546447348,0.6,1.0205192641886098,0.283,0.585
production_smdp,50,V2,normalized,1000,975,0.12412079279179378,0.14947316488252588,0.5312820512820513,1.0190098091228337,0.277,0.518
production_smdp,50,V3,raw,1000,975,0.13068382898847322,0.14402528385249397,0.5230769230769231,1.0185569905608431,0.28,0.51
production_smdp,50,V3,normalized,1000,975,0.13179471035584453,0.14764450962178374,0.518974358974359,1.0158767408798346,0.271,0.506
