arm,unit,active_loss,huber_is_hypothetical,hypothetical_huber_saturation_fraction,residual_mean,residual_std,absolute_residual_p50,absolute_residual_p90,absolute_residual_p95,absolute_residual_p99,raw_unit_saturation
V3,180,MSE,True,0.28508333333333336,-0.09524220627830886,0.9477472350770182,0.6225118680158916,1.5665821032922058,1.90163535831876,2.5155094578596384,0.9923055555555556
V3,190,MSE,True,0.2981388888888889,0.185620327860893,0.947955080683198,0.6485742826799438,1.58215999571769,1.889255004246348,2.559062562875762,0.9921944444444445
V3,200,MSE,True,0.2986111111111111,0.18320663035707546,0.9490520127900737,0.6487967565207797,1.5838310053903908,1.887490136951944,2.575400904340439,0.9926388888888888
V3,210,MSE,True,0.2838888888888889,-0.034585615946083476,0.9518842760992834,0.6216411736854649,1.5700509312839963,1.892748021426701,2.530541791075038,0.9923611111111111
V3,220,MSE,True,0.31019444444444444,0.2759255544538092,0.9480897001190437,0.6683807148098344,1.6141179148753482,1.9250004038870059,2.6125859911256515,0.9928611111111111
V3,230,MSE,True,0.29025,0.11329822811463636,0.9480729233348986,0.6365970187868462,1.5717045875645819,1.8742929922696234,2.539966978520751,0.9923333333333333
V3,240,MSE,True,0.28741666666666665,0.08692510724026291,0.948641075597901,0.6325676143086327,1.5693517934312355,1.875667495804078,2.546700469530927,0.9918888888888889
V3,250,MSE,True,0.2990277777777778,0.1937707804814498,0.9492607400477425,0.6518206279586161,1.5890340905933462,1.8925579718350347,2.5858971995648976,0.9927222222222222
V3,260,MSE,True,0.28375,-0.014793226013839707,0.9481773060859253,0.6230839035335796,1.5598903180218884,1.8814924194799798,2.4987681521036733,0.9915833333333334
V3,270,MSE,True,0.29125,0.0998271093081372,0.9479743791905711,0.6371388711380367,1.5651202512393245,1.875313833986453,2.5106210232380395,0.9918888888888889
V3,280,MSE,True,0.28905555555555557,0.0903266896941802,0.9476336227963528,0.6341437568957986,1.568300250414831,1.8740577362619817,2.5288349054946653,0.9916944444444444
V3,290,MSE,True,0.28644444444444445,0.048988784292816244,0.9473729534936636,0.6271110391793133,1.5583349649135911,1.8708435699285484,2.498215001664318,0.9918888888888889
V3,300,MSE,True,0.28530555555555553,-0.09064758424848943,0.9475485284648217,0.6223584297739877,1.5660342386132002,1.898330899603804,2.5114460333706354,0.9921666666666666
SmallMLP,0,MSE,True,0.30366666666666664,-0.05428776570999378,0.9997349733987858,0.6497509284170391,1.6466352893747962,2.0141397410301596,2.687444490709418,0.9931111111111111
SmallMLP,10,MSE,True,0.30569444444444444,0.13293301975758118,0.9876145902765746,0.657650048461604,1.6330810014192914,1.972504846259393,2.768614693064917,0.9931666666666666
SmallMLP,20,MSE,True,0.3050833333333333,0.17427856909100792,0.9739283814730442,0.6556901526329002,1.6168761254704596,1.9470893256915713,2.74143584608171,0.99275
SmallMLP,30,MSE,True,0.2865,-0.012107991503344682,0.9609552862944016,0.6284795277208379,1.5833862184361325,1.9054732923018578,2.575527535208633,0.9916388888888888
SmallMLP,40,MSE,True,0.30641666666666667,0.2308808858213532,0.9541547040147991,0.6596456776676793,1.6046215615493884,1.917839256483704,2.657845647590272,0.9933611111111111
SmallMLP,50,MSE,True,0.2848333333333333,0.034900259223973544,0.9495799347681171,0.626542366180387,1.5614320180369365,1.87843992848329,2.5411863401802033,0.9921388888888889
SmallMLP,60,MSE,True,0.286,0.05232127714695197,0.9493362652059206,0.626906654580565,1.5626284530272294,1.8790465545649542,2.543920932571945,0.9923611111111111
SmallMLP,70,MSE,True,0.2848611111111111,0.019553306045321083,0.948871923766625,0.6241484583433057,1.5631029481113354,1.8782073637700976,2.5291049302219997,0.9920555555555556
SmallMLP,80,MSE,True,0.2837222222222222,-0.06548131747533469,0.9483285896155154,0.6231100544774186,1.5674127441787742,1.8937043040512949,2.502034098641675,0.992
