episode,task_id,state_id,split,dataset_index,max_backlog,load,requirement,safe_set_bin,safe_set_size,effective_set_size
44,1,ep044_task001,test,8600,0.0,low,0.99,16-28,28,28
44,13,ep044_task013,test,8612,0.0,low,0.999,16-28,28,28
44,26,ep044_task026,test,8625,3.232857519520355,high,0.9999,16-28,20,20
44,38,ep044_task038,test,8637,0.0,low,0.99,16-28,28,28
44,51,ep044_task051,test,8650,0.0,low,0.999,16-28,26,26
44,63,ep044_task063,test,8662,0.5705548914727625,medium,0.999,16-28,28,28
44,76,ep044_task076,test,8675,1.2842208443082919,medium,0.9999,16-28,20,20
44,88,ep044_task088,test,8687,0.0,low,0.9999,16-28,27,27
44,100,ep044_task100,test,8699,3.74537378416655,high,0.9999,16-28,20,20
44,113,ep044_task113,test,8712,4.036501021176353,high,0.99,16-28,28,28
44,125,ep044_task125,test,8724,1.335945273794788,medium,0.999,16-28,23,23
44,138,ep044_task138,test,8737,2.2477694801114203,high,0.9,16-28,28,28
44,150,ep044_task150,test,8749,0.0,low,0.9,16-28,28,28
44,163,ep044_task163,test,8762,0.0,low,0.9,16-28,28,28
44,175,ep044_task175,test,8774,4.069666430434472,high,0.9,16-28,28,28
44,188,ep044_task188,test,8787,0.0,low,0.99,16-28,28,28
44,200,ep044_task200,test,8799,3.224157432431576,high,0.9999,6-15,6,6
57,1,ep057_task001,test,11200,0.0,low,0.99,16-28,28,28
57,13,ep057_task013,test,11212,2.6526018249594507,high,0.999,16-28,24,24
57,26,ep057_task026,test,11225,1.9312127087890443,high,0.9999,6-15,11,11
57,38,ep057_task038,test,11237,0.0,low,0.99,16-28,28,28
57,51,ep057_task051,test,11250,0.3268722816050931,medium,0.999,16-28,19,19
57,63,ep057_task063,test,11262,0.7530972490345207,medium,0.999,16-28,24,24
57,76,ep057_task076,test,11275,0.0,low,0.9999,6-15,13,13
57,88,ep057_task088,test,11287,2.37829568323116,high,0.9999,16-28,22,22
57,100,ep057_task100,test,11299,0.0,low,0.9999,6-15,13,13
57,113,ep057_task113,test,11312,3.9152707589919578,high,0.99,16-28,24,24
57,125,ep057_task125,test,11324,0.0,low,0.999,16-28,17,17
57,138,ep057_task138,test,11337,2.4271896050056836,high,0.9,16-28,28,28
57,150,ep057_task150,test,11349,0.0,low,0.9,16-28,28,28
57,163,ep057_task163,test,11362,0.0,low,0.9,16-28,28,28
57,175,ep057_task175,test,11374,3.271009375161247,high,0.9,16-28,28,28
57,188,ep057_task188,test,11387,0.8316827063563856,medium,0.99,16-28,28,28
57,200,ep057_task200,test,11399,0.0,low,0.9999,1-5,2,2
58,1,ep058_task001,test,11400,0.0,low,0.99,16-28,28,28
58,13,ep058_task013,test,11412,1.2977325400070037,medium,0.999,16-28,27,27
58,26,ep058_task026,test,11425,3.3151222673894667,high,0.9999,6-15,14,14
58,38,ep058_task038,test,11437,0.0,low,0.99,16-28,28,28
58,51,ep058_task051,test,11450,0.0,low,0.999,16-28,25,25
58,63,ep058_task063,test,11462,0.0,low,0.999,16-28,28,28
58,76,ep058_task076,test,11475,0.0,low,0.9999,16-28,16,16
58,88,ep058_task088,test,11487,3.0747909115616494,high,0.9999,16-28,27,27
58,100,ep058_task100,test,11499,6.518680557934128,high,0.9999,16-28,16,16
58,113,ep058_task113,test,11512,0.7109745083101839,medium,0.99,16-28,27,27
58,125,ep058_task125,test,11524,0.0,low,0.999,16-28,20,20
58,138,ep058_task138,test,11537,1.3105437988828368,medium,0.9,16-28,28,28
58,150,ep058_task150,test,11549,2.6219993210410357,high,0.9,16-28,28,28
58,163,ep058_task163,test,11562,0.0,low,0.9,16-28,28,28
58,175,ep058_task175,test,11574,0.0,low,0.9,16-28,28,28
58,188,ep058_task188,test,11587,0.0,low,0.99,16-28,28,28
58,200,ep058_task200,test,11599,0.0,low,0.9999,1-5,1,1
60,1,ep060_task001,test,11800,0.0,low,0.99,16-28,28,28
60,13,ep060_task013,test,11812,0.9043153658931984,medium,0.999,16-28,26,26
60,26,ep060_task026,test,11825,0.0,low,0.9999,6-15,13,13
60,38,ep060_task038,test,11837,0.0,low,0.99,16-28,28,28
60,51,ep060_task051,test,11850,0.5472872912852471,medium,0.999,16-28,21,21
60,63,ep060_task063,test,11862,0.03677417364119151,low,0.999,16-28,27,27
60,76,ep060_task076,test,11875,0.024141629996802694,low,0.9999,6-15,14,14
60,88,ep060_task088,test,11887,3.797768814133706,high,0.9999,16-28,24,24
