lens,horizon,coupling,value_source,advantage_type,n,nonzero_reference_count,pearson,spearman,sign_agreement,normalized_mae,quartile_agreement,sign_agreement_including_zeros
legacy_interval_step,50,easy,V0,raw,815,790,0.11604318058587641,0.14498252986321414,0.5962025316455696,1.0317679084604614,0.27361963190184047,0.5779141104294478
legacy_interval_step,50,easy,V0,normalized,815,790,0.1122795338326203,0.1427447626402825,0.5126582278481012,1.0346508056306245,0.26134969325153373,0.49693251533742333
legacy_interval_step,50,easy,V1,raw,815,790,0.11601273192473253,0.14494701763111534,0.5962025316455696,1.0317761351405499,0.27361963190184047,0.5779141104294478
legacy_interval_step,50,easy,V1,normalized,815,790,0.11224949390972513,0.14276704092163356,0.5126582278481012,1.0346558073443026,0.26134969325153373,0.49693251533742333
legacy_interval_step,50,easy,V2,raw,815,790,0.11601272715314301,0.14494654102958215,0.5962025316455696,1.0317761341554355,0.27361963190184047,0.5779141104294478
legacy_interval_step,50,easy,V2,normalized,815,790,0.1122494835329353,0.14276704092163356,0.5126582278481012,1.0346558079586112,0.26134969325153373,0.49693251533742333
legacy_interval_step,50,easy,V3,raw,815,790,0.12253741261831883,0.14431372423133676,0.5113924050632911,1.0244886628312835,0.2785276073619632,0.49570552147239266
legacy_interval_step,50,easy,V3,normalized,815,790,0.11868620742522691,0.1434616356160157,0.5050632911392405,1.027629780941147,0.2785276073619632,0.48957055214723927
production_smdp,5,coupled,V0,raw,174,174,0.13861545865130775,0.11823685184657877,0.5804597701149425,1.0233691989115619,0.3103448275862069,0.5804597701149425
production_smdp,5,coupled,V0,normalized,174,174,0.15944059286263246,0.12796605825906204,0.5747126436781609,1.0158061690195233,0.3103448275862069,0.5747126436781609
production_smdp,5,coupled,V1,raw,174,174,0.1385730316129557,0.11823685184657877,0.5804597701149425,1.0234103594765305,0.3103448275862069,0.5804597701149425
production_smdp,5,coupled,V1,normalized,174,174,0.15939915580050282,0.1280435092115379,0.5747126436781609,1.01583989052185,0.3103448275862069,0.5747126436781609
production_smdp,5,coupled,V2,raw,174,174,0.1385730233257985,0.11823685184657877,0.5804597701149425,1.0234103728302586,0.3103448275862069,0.5804597701149425
production_smdp,5,coupled,V2,normalized,174,174,0.15939914811526795,0.1280435092115379,0.5747126436781609,1.0158398986022035,0.3103448275862069,0.5747126436781609
production_smdp,5,coupled,V3,raw,174,174,0.1415723457226606,0.08307639739172527,0.5287356321839081,1.0277505347847102,0.3160919540229885,0.5287356321839081
production_smdp,5,coupled,V3,normalized,174,174,0.16400808362147945,0.10306329906888008,0.5344827586206896,1.0155673457494743,0.28160919540229884,0.5344827586206896
production_smdp,5,easy,V0,raw,826,801,0.12690296140176402,0.15222900129544933,0.6017478152309613,1.0254149869808704,0.2784503631961259,0.5835351089588378
production_smdp,5,easy,V0,normalized,826,801,0.123726450289033,0.15156667902588147,0.5218476903870163,1.0283740689575311,0.2627118644067797,0.5060532687651331
