trial_id,policy,R_req,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy
2,flat,0.9,1000,45.86587221668295,3.4190657982713266,2.721463263875364,6.442636441451467,8.045532977185024,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,1.0,-0.0,1.0,1,1.0,2.8074118406772612
2,flat,0.99,1000,51.632567740327985,3.1757440967007793,2.496790021414938,5.994164592973847,8.425308954573214,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.09,1.0,-0.0,1.0,1,1.0,2.7949403686523437
2,flat,0.999,1000,46.87489527746698,3.4356997487760506,2.794967411202947,6.295157287272023,7.8867129122216415,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,20.746,1.0,-0.0,1.0,1,1.0,2.782021753549576
2,flat,0.9999,1000,32.884645121982146,3.5432324912049995,2.754352026480774,6.873356763875683,8.407840209896934,0.767,0.83,0.9240963855421687,0.063,0.17,0.17,9.781897016790129e-05,0.0003645157081459,63,170,7.873,1.0,-0.0,1.0,1,1.0,2.771249731063843
2,masked_greedy,0.9,1000,57.10756249384789,2.309539801848279,2.2150224307281405,3.594463736692199,4.0791591576707225,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,0.707606,0.5100245755357109,0.825,4,0.825,3.22456987786293
2,masked_greedy,0.99,1000,62.265873834823,2.1234776418187185,2.088869413442467,3.486402520560034,4.0668560251004395,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.09,0.7083419999999999,0.5119230134938546,0.826,4,0.826,3.1956644732952117
2,masked_greedy,0.999,1000,60.5291693211581,2.1986319318355028,2.0682210990180874,3.708441619093037,4.338660823757155,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,20.746,0.6761580000000001,0.5462141152279112,0.8,4,0.8,2.8988997066020965
2,masked_greedy,0.9999,1000,45.682746290805056,2.4386067579994823,2.2632865149014805,4.002744486380778,4.876580988001787,0.83,0.83,1.0,0.0,0.17,0.17,9.781897016790129e-05,0.0003645157081459,0,170,7.873,0.532,0.9951197043267106,0.711,8,0.711,1.5794183227419853
2,masked_stochastic,0.9,1000,59.57778405422441,2.127515043505676,2.123581182753924,3.1748650824012303,3.573829781305257,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,0.043864,3.212703998581058,0.067,28,0.065,3.2139122343063353
2,masked_stochastic,0.99,1000,65.14518082578955,1.9496671854312795,1.8896354480223503,3.151221352930236,3.4935721715214774,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.09,0.044694000000000005,3.1880702289394818,0.063,28,0.056,3.185276689529419
2,masked_stochastic,0.999,1000,65.78641475048472,1.9075125506754194,1.839847911019106,2.9739743521231508,3.349307999864043,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,20.746,0.052768,3.0612856303377214,0.089,27,0.089,2.8897534242868423
2,masked_stochastic,0.9999,1000,51.888558233307826,2.0334800835513933,1.989088838119244,3.0557452754076566,3.5849515131600014,0.83,0.83,1.0,0.0,0.17,0.17,9.781897016790129e-05,0.0003645157081459,0,170,7.873,0.12921,2.493110661012125,0.25,26,0.25,1.5752542629241943
2,pair,0.9,1000,46.00023222611353,3.406660025123037,2.7131263475031204,6.442636441451467,8.045532977185024,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,28.0,0.9900500000000001,0.03147906594716675,0.995,2,0.995,2.5302435169219972
2,pair,0.99,1000,51.74915822668869,3.1673145569096315,2.496790021414938,5.994164592973847,8.425308954573214,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.09,0.9880720000000001,0.036677938750134136,0.994,2,0.994,2.4876929066181184
2,pair,0.999,1000,46.984402953602526,3.4265628073324605,2.794967411202947,6.290995209034455,7.8867129122216415,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,20.746,0.9900500000000001,0.03147906594716675,0.995,2,0.995,2.4636386995315553
2,pair,0.9999,1000,33.0146858521177,3.5292953877118576,2.754352026480774,6.873356763875683,8.407840209896934,0.767,0.83,0.9240963855421687,0.063,0.17,0.17,9.781897016790129e-05,0.0003645157081459,63,170,7.873,0.992032,0.02607783298339765,0.996,2,0.996,2.449925538778305
3,flat,0.9,1000,45.60560842769315,3.4759626780724866,2.8027825815648986,6.319246195179438,8.263069433303894,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,27.976,1.0,-0.0,1.0,1,1.0,2.45081064081192
