trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_queue_length,mean_server_p95_queue_length,mean_server_waiting_time,highest_rsr
3,masked_stochastic,4000,60.82596312725253,2.0242294009402855,1.970155737637356,3.1769637190787705,3.622861964037744,0.9655,0.9655,1.0,0.0,0.0345,0.0345,6.930862004996635e-05,0.00017599408874026,0,138,21.56875,0.05038337500000001,3.1331412596296357,0.085,28,0.08225,2.7896790127605198,0.20075,0.2836479329945096,0.0804486735567736,1.0,0.04243166528676402,0.25,0.3275935265251522,0.862
3,pair,4000,44.64474204825938,3.415996606997044,2.692147927200063,6.443569958910216,8.441959254874527,0.94175,0.9655,0.9754013464526152,0.02375,0.0345,0.0345,6.930862004996635e-05,0.00017599408874026,95,138,21.56875,1.0,-0.0,1.0,1,1.0,2.328544449687004,0.5,0.725805847616438,1.3200684482463307,6.0,0.26955408689906835,1.25,0.5465563082136633,0.767
4,flat,4000,39.31353179040614,4.241986034847426,3.117571125068906,8.521954550824125,11.228454184925946,0.9315,0.983,0.9476093591047813,0.0515,0.017,0.017,4.805966977929202e-05,0.0001244851538345,206,68,22.13625,0.9950125000000001,0.017475533760343134,0.9975,2,0.0,2.727441345512867,0.5,0.7586819524214337,1.733586646118069,7.0,0.3702317310668111,1.5,0.7647761805626883,0.729
4,masked_greedy,4000,48.490688667659434,3.336297227459597,2.582051161416672,6.3279369680909445,8.29113416061918,0.983,0.983,1.0,0.0,0.017,0.017,4.805966977929202e-05,0.0001244851538345,0,68,22.13625,0.922094875,0.20295807250366363,0.95975,7,0.95975,2.8030209832638504,0.495625,0.6937747822172352,1.0788559650356586,5.0,0.24022185425072395,1.125,0.5221625796976657,0.932
4,masked_stochastic,4000,61.89701687390434,2.0186603089588715,1.957508219383804,3.138991470250357,3.595003047634219,0.983,0.983,1.0,0.0,0.017,0.017,4.805966977929202e-05,0.0001244851538345,0,68,22.13625,0.061419375000000005,3.022242160953362,0.1355,28,0.1355,2.7861347920149564,0.219875,0.3246312640685282,0.0953023800845271,1.0,0.04098034349719257,0.25,0.28896325873413303,0.932
4,pair,4000,46.38418304439956,3.4869434165365902,2.6720643754974844,6.645855202743671,8.933636147156001,0.97075,0.983,0.9875381485249237,0.01225,0.017,0.017,4.805966977929202e-05,0.0001244851538345,49,68,22.13625,0.9851125000000001,0.044168196360934636,0.9925,2,0.9925,2.44934865963459,0.5,0.7115054383835049,1.2561918591980863,6.0,0.2657936760744992,1.25,0.5678493163121688,0.883
5,flat,4000,46.291004191528096,3.115967950663843,2.6075786157746386,5.927764571707821,7.29548932035438,0.94625,0.9715,0.9740092640247041,0.02525,0.0285,0.0285,9.430848271695178e-05,0.0002731586389505198,101,114,21.52125,1.0,-0.0,1.0,1,1.0,2.4920921711325645,0.5,0.7101292459259868,1.0096660077951607,4.0,0.21044521839462868,0.875,0.43612513475193626,0.788
5,masked_greedy,4000,49.38562314899693,2.935254821960031,2.501589059283347,5.456096986711827,6.739905847851451,0.9715,0.9715,1.0,0.0,0.0285,0.0285,9.430848271695178e-05,0.0002731586389505198,0,114,21.52125,0.9112378750000001,0.24810510036917216,0.95425,7,0.95425,2.778925481721759,0.495875,0.6739244923910687,0.8600009726307287,4.0,0.18831942483752565,0.875,0.45679277160489307,0.886
5,masked_stochastic,4000,61.41212309869239,2.000493183586977,1.9736575500684381,3.109329766840247,3.573257693271728,0.9715,0.9715,1.0,0.0,0.0285,0.0285,9.430848271695178e-05,0.0002731586389505198,0,114,21.52125,0.052747875,3.108842130663404,0.10075,28,0.10075,2.7750991434752943,0.21675,0.2904431972793377,0.0679435635549536,1.0,0.03832403978143065,0.25,0.30808761710207394,0.886
5,pair,4000,47.61914718545537,2.940840235326727,2.5139665060619905,5.435366815141486,6.515638334001162,0.9455,0.9715,0.9732372619660319,0.026,0.0285,0.0285,9.430848271695178e-05,0.0002731586389505198,104,114,21.52125,0.964648,0.0901499225359206,0.982,2,0.982,2.4468659465909006,0.5,0.6996785567884813,0.8200535473055824,3.0,0.1868839615777105,0.75,0.40670814663682187,0.785
