trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,feasibility_rate,conditional_rsr,avoidable_violation_rate,unavoidable_violation_rate,empty_safe_set_rate,mean_empty_deficit,p95_empty_deficit,avoidable_violation_count,unavoidable_violation_count,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,mean_masked_entropy,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_queue_length,mean_server_p95_queue_length,mean_server_waiting_time,highest_rsr,posthoc_reliability_diagnostic,actor_sha256,action_rng_seed,mean_native_policy_entropy
0,Pair Greedy,4000,43.88425173387005,3.358601887938624,2.645571880194126,6.547175857134917,8.777642250642627,0.92275,0.95675,0.9644630258688268,0.034,0.04325,0.04325,0.0001094956286553,0.0003577416544684,136,173,20.9215,0.9975031250000002,0.0096049830838604,0.99875,2,0.99875,2.524761020064354,0.5,0.718529877116852,1.2436702724320974,6.0,0.255670845201998,1.25,0.5722704151439088,0.702,True,,,
1,Pair Greedy,4000,45.67907095201555,3.180592873812705,2.71225036023111,5.943588697858459,7.030740247293527,0.9615,0.97425,0.9869130100076984,0.01275,0.02575,0.02575,6.156324910821297e-05,0.0002142370781997,51,103,21.58975,0.9970045,0.0112523096933886,0.9985,2,0.9985,2.40895849865675,0.5,0.7369950170089142,1.185888293208876,5.0,0.2404308194956566,1.0,0.4796186448395579,0.85,True,,,
2,Pair Greedy,4000,44.43711981463061,3.3824581942692467,2.694410539289237,6.399622570819094,8.223843841668506,0.94175,0.9575,0.98355091383812,0.01575,0.0425,0.0425,9.781897016790127e-05,0.0003645157081459,63,170,20.92725,0.99005,0.0314790659471667,0.995,2,0.995,2.482875165462494,0.5,0.7185833104558376,1.1978441909170727,5.0,0.2522404775846913,1.125,0.5262624010573317,0.767,True,,,
3,Pair Greedy,4000,44.64474204825938,3.415996606997044,2.692147927200063,6.443569958910216,8.441959254874527,0.94175,0.9655,0.9754013464526152,0.02375,0.0345,0.0345,6.930862004996635e-05,0.0001759940887402,95,138,21.56875,1.0,-0.0,1.0,1,1.0,2.328544449687004,0.5,0.725805847616438,1.3200684482463307,6.0,0.2695540868990683,1.25,0.5465563082136633,0.767,True,,,
4,Pair Greedy,4000,46.38418304439956,3.4869434165365902,2.6720643754974844,6.645855202743671,8.933636147156001,0.97075,0.983,0.9875381485249236,0.01225,0.017,0.017,4.805966977929202e-05,0.0001244851538345,49,68,22.13625,0.9851125,0.0441681963609346,0.9925,2,0.9925,2.44934865963459,0.5,0.7115054383835049,1.2561918591980863,6.0,0.2657936760744992,1.25,0.5678493163121688,0.883,True,,,
5,Pair Greedy,4000,47.61914718545537,2.940840235326727,2.5139665060619905,5.435366815141486,6.515638334001162,0.9455,0.9715,0.973237261966032,0.026,0.0285,0.0285,9.430848271695178e-05,0.0002731586389505,104,114,21.52125,0.964648,0.0901499225359206,0.982,2,0.982,2.4468659465909006,0.5,0.6996785567884813,0.8200535473055824,3.0,0.1868839615777105,0.75,0.4067081466368218,0.785,True,,,
6,Pair Greedy,4000,46.961626429067614,3.178282403776399,2.663496248548906,6.014430540147275,7.271924682754443,0.9685,0.97525,0.9930786977698026,0.00675,0.02475,0.02475,8.054532128771008e-05,0.000286166300104,27,99,21.96725,0.9990005000000002,0.0043003262089324,0.9995,2,0.9995,2.2841975165605546,0.5,0.7171432726193842,1.1025602093144662,5.0,0.2264564264210939,1.0,0.5205932181836711,0.874,True,,,
7,Pair Greedy,4000,50.7771819390015,2.6943250003781305,2.477315121824347,4.6263030800426055,5.365566393428573,0.9725,0.9875,0.9848101265822784,0.015,0.0125,0.0125,7.213634742484027e-05,0.0002134074089213,60,50,22.172,0.8828125,0.2337916587064593,0.9375,2,0.9375,2.279373513817787,0.5,0.6695632038986924,0.7436787165175662,4.0,0.1665984551078901,0.75,0.3814763448554164,0.89,True,,,
8,Pair Greedy,4000,43.81526411944121,3.656143340043991,2.721463263875364,7.321122438725222,9.565942159355863,0.948,0.96625,0.9811125485122898,0.01825,0.03375,0.03375,0.0002256416696448,0.0008466436868869,73,135,21.60325,0.967061125,0.0851056589836523,0.98325,2,0.98325,2.335458725094796,0.5,0.7113473864663846,1.461436704124992,6.0,0.3030297825228547,1.25,0.6405710003058097,0.812,True,,,
9,Pair Greedy,4000,46.36595623520985,3.22214289679334,2.706958231932756,5.900025134238786,7.443986297146878,0.96375,0.98975,0.9737307400858802,0.026,0.01025,0.01025,2.4312161578049636e-05,5.227407200802947e-05,104,41,22.111,1.0,-0.0,1.0,1,1.0,2.4087092383503914,0.5,0.724642118386456,1.1439363130189135,5.0,0.2353095802893207,1.0,0.4778873003272418,0.855,True,,,
0,Pair Stochastic,4000,53.764927480975395,1.9911443475567876,1.9556495884978489,3.076342572223071,3.539821388471637,0.84725,0.95675,0.885550039195192,0.1095,0.04325,0.04325,,,438,173,20.9215,0.113116625,2.520606465561594,0.193,28,0.193,,0.27275,0.4002257631599383,0.1683873588459077,1.0,0.05079121099191429,0.375,0.2631171717137322,0.487,True,48508f95db356def9d5da0acf339e92a7d9ddbdbc3f5ef2d70942b969db69caf,544259461.0,2.5128341683397286
1,Pair Stochastic,4000,57.428466932838624,1.9809053772348635,1.9357775718169279,3.0714846988049973,3.524480238826699,0.8995,0.97425,0.9232743135745445,0.07475,0.02575,0.02575,,,299,103,21.58975,0.131292,2.3957730644208795,0.2415,28,0.2415,,0.27925,0.4226768773175623,0.1629151582898909,1.0,0.052148302436672886,0.375,0.2422259436575126,0.644,True,adda90c27f9db9f200f650c3892fb4a0ef5d6d9b1bd23d3ee5d0df52f7c0492e,1577341876.0,2.383776181171178
2,Pair Stochastic,4000,56.15118427603312,1.9702500458814447,1.9360494390307397,3.022595157247005,3.5395020836591584,0.8775,0.9575,0.9164490861618799,0.08,0.0425,0.0425,,,320,170,20.92725,0.12620712499999998,2.4136768373560415,0.2405,28,0.2405,,0.287125,0.3960836154021075,0.1329154695489821,1.0,0.04709304787388142,0.375,0.24109367075394647,0.574,True,f4bbdab8ece60dca4adbd93693d1e5cfece0a4cd4978bc466131cda32279c23c,1314620460.0,2.4409399201192628
3,Pair Stochastic,4000,56.54505192979441,2.0291284313581355,1.964890229284464,3.1351138162918915,3.6984855274166235,0.89425,0.9655,0.9262040393578457,0.07125,0.0345,0.0345,,,285,138,21.56875,0.1462905,2.2960014107822713,0.26375,28,0.26375,,0.300375,0.4402210322867764,0.2173202828127294,1.0,0.061833298716199206,0.375,0.2843268501187944,0.606,True,8f5b5c7157227f33f89b10891bf81d9cb5b87fcbdbbc8b26469e690b59357cf3,2017862380.0,2.3239032263987003
4,Pair Stochastic,4000,58.43404026547946,1.997927270745649,1.934708018141059,3.1167139284218024,3.5665979778674455,0.91575,0.983,0.931586978636826,0.06725,0.017,0.017,,,269,68,22.13625,0.127303375,2.4165085619583455,0.24025,28,0.24025,,0.2785,0.3988079037564591,0.1357082931327773,1.0,0.051943082935487044,0.375,0.27329377261588256,0.69,True,aee7f1272308033fc9a70f480729021e08d2026ee12ed6002d4b66d816af78c4,1728884088.0,2.410907327523256
5,Pair Stochastic,4000,56.71448175307759,1.9780739896499548,1.9360494390307397,3.048275035297121,3.511878421119948,0.89075,0.9715,0.9168811116829645,0.08075,0.0285,0.0285,,,323,114,21.52125,0.124057625,2.4496008256772477,0.2135,28,0.2135,,0.287,0.3697991339927687,0.1347133589783206,1.0,0.04972650346813584,0.375,0.26807609921260206,0.615,True,d769e6d80de7b05197536471260b4221ae84832bca2b4a1b3c0b4cb23ac790d2,2299313264.0,2.4464836581708758
6,Pair Stochastic,4000,57.869500973288304,2.0179009560603856,1.9775891175898295,3.1512670087558323,3.5918970830789223,0.913,0.97525,0.9361702127659575,0.06225,0.02475,0.02475,,,249,99,21.96725,0.1559665,2.234916862830726,0.2915,28,0.2915,,0.29575,0.4263499289150196,0.1974928565261993,1.0,0.05593532488914747,0.375,0.25292030082752687,0.679,True,9ac2f823c73c107304551076a77bb96feb7ca4faac7aac8e7200a8856a3b42a1,1142180368.0,2.244454578895982
7,Pair Stochastic,4000,58.73501091536344,1.9965289882543846,1.95444667843708,3.1167761459095913,3.570558738339741,0.92575,0.9875,0.9374683544303798,0.06175,0.0125,0.0125,,,247,50,22.172,0.151311,2.2501141348500107,0.27225,28,0.27225,,0.307375,0.3994120355653651,0.1642099830846758,1.0,0.055409626397625505,0.375,0.25953981728083714,0.72,True,5427e4b60144143725e342e2abce7abe7a4584f67b6b63e0c5aa89ded843a3a2,2125829243.0,2.264054315396379
8,Pair Stochastic,4000,57.027716994139794,1.9984802948559308,1.9500208547212596,3.099277201335741,3.6053436830378898,0.89675,0.96625,0.9280724450194049,0.0695,0.03375,0.03375,,,278,135,21.60325,0.140419875,2.318565424542437,0.245,27,0.245,,0.29575,0.398504478779901,0.1612176632967173,1.0,0.05465871830680088,0.375,0.251790732426704,0.636,True,51c2408432c400efbd1880e16852e477e91a4526b87a8c281f756a5d925fd895,999253332.0,2.3184535067824683
9,Pair Stochastic,4000,58.30286979071209,1.9812231741599362,1.9294866659363805,3.0878724385278677,3.477600117336774,0.9115,0.98975,0.9209396312200051,0.07825,0.01025,0.01025,,,313,41,22.111,0.13603149999999997,2.3643791611478315,0.2525,28,0.2525,,0.302875,0.4425700964393202,0.2045126485996673,1.0,0.0516451118938471,0.375,0.23795154626566187,0.682,True,986546090cba901d7bc54317f182cf81c07d0ba86042ae9d2d0d8f3f258aab24,4026276537.0,2.364794624380736
