trial_id,policy,server_id,selection_count,primary_count,backup_count,utilization,mean_queue_length,p95_queue_length,mean_waiting_time,busy_time,observation_time,replica_wait_count
5,Pair Greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8289.28266710719,0
5,Pair Greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8289.28266710719,0
5,Pair Greedy,6,72,72,0,0.0110915721134014,0.0010989809278405,0.0,0.1265244938420811,91.9411764705881,8289.28266710719,72
5,Pair Greedy,7,3928,3928,0,0.6996785567884813,0.8200535473055824,3.0,1.73056406715375,5799.833333333333,8289.28266710719,3928
5,Pair Greedy,8,4000,0,4000,0.6391385374060246,0.673919164388261,3.0,1.3965766120987435,5298.0,8289.28266710719,4000
5,Masked Stochastic,1,448,448,0,0.1323598310104244,0.0164563032440285,0.0,0.3038037859647442,1094.7,8270.636126105233,448
5,Masked Stochastic,2,641,611,30,0.1769458265532119,0.0195651549602168,0.0,0.2524434905254544,1463.4545454545453,8270.636126105233,641
5,Masked Stochastic,3,617,563,54,0.1550062148126099,0.0225657997542276,0.0,0.3024854435360973,1282.0,8270.636126105233,617
5,Masked Stochastic,4,1013,799,214,0.2279924818831116,0.0444712121509772,0.0,0.363085107391473,1885.642857142856,8270.636126105233,1013
5,Masked Stochastic,5,800,537,263,0.1673551238658038,0.0245414642809443,0.0,0.2537169013368745,1384.1333333333332,8270.636126105233,800
5,Masked Stochastic,6,1225,639,586,0.234415427824576,0.0467945754304397,0.0,0.3159354335189808,1938.7647058823525,8270.636126105233,1225
5,Masked Stochastic,7,1522,403,1119,0.2776086343289801,0.0642542448756575,1.0,0.3491612870724213,2296.0,8270.636126105233,1522
5,Masked Stochastic,8,1734,0,1734,0.2904431972793377,0.0679435635549536,1.0,0.3240694874705461,2402.15,8270.636126105233,1734
5,Masked Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8287.690744049589,0
5,Masked Greedy,2,11,11,0,0.0051884175372824,0.0,0.0,0.0,43.0,8287.690744049589,11
5,Masked Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8287.690744049589,0
5,Masked Greedy,4,77,77,0,0.0223308801313932,0.0037905186224333,0.0,0.4079824169128367,185.07142857142856,8287.690744049589,77
5,Masked Greedy,5,1,1,0,0.0004022029098668,0.0,0.0,0.0,3.333333333333343,8287.690744049589,1
5,Masked Greedy,6,94,94,0,0.0248561398297715,0.0006069601583859,0.0,0.0535138094325773,206.0,8287.690744049589,94
5,Masked Greedy,7,3850,3817,33,0.6739244923910687,0.8600009726307287,4.0,1.851278467726061,5585.277777777777,8287.690744049589,3850
5,Masked Greedy,8,3967,0,3967,0.6320759499576057,0.6421569472886572,3.0,1.3415674787676697,5238.45,8287.690744049589,3967
6,Pair Greedy,1,0,0,0,0.0,0.0,0.0,0.0,0.0,8205.860673116931,0
6,Pair Greedy,2,0,0,0,0.0,0.0,0.0,0.0,0.0,8205.860673116931,0
6,Pair Greedy,3,0,0,0,0.0,0.0,0.0,0.0,0.0,8205.860673116931,0
6,Pair Greedy,4,0,0,0,0.0,0.0,0.0,0.0,0.0,8205.860673116931,0
6,Pair Greedy,5,0,0,0,0.0,0.0,0.0,0.0,0.0,8205.860673116931,0
