group_type,group_value,metric,count,mean,std,p50,p90
safe_set_size,20,signed_current_task_share,819,1.000000000946137,2.6483773601637756e-08,0.9999999993489352,1.0000000377541587
safe_set_size,20,current_task_absolute_share,819,0.9999999999999808,6.9341414979351905e-15,0.9999999999999817,0.9999999999999887
safe_set_size,20,previous_tasks_absolute_share,819,0.0,0.0,0.0,0.0
safe_set_size,20,other_absolute_share,819,0.0,0.0,0.0,0.0
safe_set_size,21,current_task_attribution_ratio,936,0.9999999999999808,6.4786501163238005e-15,0.999999999999981,0.9999999999999887
safe_set_size,21,signed_current_task_share,936,0.9999999985876565,2.4904466154233896e-08,0.9999999963510195,1.0000000340994608
safe_set_size,21,current_task_absolute_share,936,0.9999999999999808,6.4786501163238005e-15,0.999999999999981,0.9999999999999887
safe_set_size,21,previous_tasks_absolute_share,936,0.0,0.0,0.0,0.0
safe_set_size,21,other_absolute_share,936,0.0,0.0,0.0,0.0
safe_set_size,22,current_task_attribution_ratio,1274,0.9999999999999812,6.647272673338563e-15,0.9999999999999817,0.9999999999999887
safe_set_size,22,signed_current_task_share,1274,0.9999999981330651,2.423474919893264e-08,0.9999999971866779,1.000000031735279
safe_set_size,22,current_task_absolute_share,1274,0.9999999999999812,6.647272673338563e-15,0.9999999999999817,0.9999999999999887
safe_set_size,22,previous_tasks_absolute_share,1274,0.0,0.0,0.0,0.0
safe_set_size,22,other_absolute_share,1274,0.0,0.0,0.0,0.0
safe_set_size,23,current_task_attribution_ratio,1191,0.9999999999999815,6.5991426851201085e-15,0.9999999999999827,0.9999999999999892
safe_set_size,23,signed_current_task_share,1191,1.000000000185832,2.4899158905900782e-08,0.9999999988450191,1.0000000336187744
safe_set_size,23,current_task_absolute_share,1191,0.9999999999999815,6.5991426851201085e-15,0.9999999999999827,0.9999999999999892
safe_set_size,23,previous_tasks_absolute_share,1191,0.0,0.0,0.0,0.0
safe_set_size,23,other_absolute_share,1191,0.0,0.0,0.0,0.0
safe_set_size,24,current_task_attribution_ratio,1162,0.9999999999999812,6.692197494378602e-15,0.9999999999999823,0.9999999999999892
safe_set_size,24,signed_current_task_share,1162,0.9999999993826243,2.5195433932962604e-08,0.999999998375247,1.0000000330434438
safe_set_size,24,current_task_absolute_share,1162,0.9999999999999812,6.692197494378602e-15,0.9999999999999823,0.9999999999999892
safe_set_size,24,previous_tasks_absolute_share,1162,0.0,0.0,0.0,0.0
safe_set_size,24,other_absolute_share,1162,0.0,0.0,0.0,0.0
safe_set_size,25,current_task_attribution_ratio,1806,0.9999999999999816,7.237597932809149e-15,0.9999999999999827,0.99999999999999
safe_set_size,25,signed_current_task_share,1806,0.9999999997478131,2.5146504009411473e-08,0.9999999993489352,1.0000000326844745
