flat_index,transition_id,episode,task_id,target_snapshot_sha256,snapshot_hash_match,next_state_matches_next_row,next_mask_matches_collection,pi_old_matches_collection,terminal,terminal_no_bootstrap,delta_t,discount_term_online,discount_term_gamma_power_delta,next_q_expectation_recomputed,next_q_expectation_online,bellman_target_recomputed,bellman_target_online,absolute_error,q_values_finite,effective_mask_size
57375,ep287:d176,287,176,05e6ed547f96580f913f1fa6b1b18e6506c343bb646d5b60185bae405cf81192,True,True,True,True,False,True,3.6200342178344727,0.6828987002372742,0.6828987510624576,35.01071137416371,35.010711669921875,62.58989111797062,62.58988952636719,1.5916034357132958e-06,True,28
57137,ep286:d138,286,138,d55e48b7d158cf9a673c076d274beea6ff0d81e4167166c9f477d2979a82afdc,True,True,True,True,False,True,0.6289077997207642,0.9358855485916138,0.9358855832632801,34.87955079443696,34.87955093383789,81.81878938046663,81.81878662109375,2.7593728759711666e-06,True,25
43741,ep219:d142,219,142,8cd23eb490f20685de49c77e1591c94e593f2f0a65b7a863f11d4639aaa61da9,True,True,True,True,False,True,3.2242472171783447,0.7119778990745544,0.7119779412715886,26.026523291905967,26.026525497436523,121.06851738139866,121.06851959228516,2.210886492548525e-06,True,26
43748,ep219:d149,219,149,8cd23eb490f20685de49c77e1591c94e593f2f0a65b7a863f11d4639aaa61da9,True,True,True,True,False,True,0.8253885507583618,0.9167106747627258,0.9167106802483092,26.010651692032763,26.010650634765625,74.05717846498878,74.05717468261719,3.7823715928198e-06,True,28
57514,ep288:d115,288,115,ecb4c2726aa669fd3da261c723ca3d407715dae2389d96a3d48cda6ea33edab7,True,True,True,True,False,True,0.7333301305770874,0.9256454110145569,0.9256454132692951,35.142437475826675,35.14243698120117,14.882570136638385,14.882568359375,1.77726338534967e-06,True,28
59314,ep297:d115,297,115,ca8b7e44e037040993775626f2e80da97d8ae0b8feae39532cf67f2bf8c92adb,True,True,True,True,False,True,6.388689041137695,0.510116696357727,0.5101167939424336,36.33292895174107,36.33292770385742,63.7479199468485,63.74791717529297,2.7715555290797056e-06,True,28
47374,ep237:d175,237,175,b18945303d1194d085ac7aa84b8502badc5ffd7573c6b833af2ee26e7de8b005,True,True,True,True,False,True,2.1503520011901855,0.7972697019577026,0.7972697540274605,28.400716833377345,28.400718688964844,76.59714786642093,76.59715270996094,4.843540011734149e-06,True,28
54625,ep274:d026,274,26,662f31b7bf3f339e8b341a5fdbca4afc7efb76a71ff0859bec48256bf403d0af,True,True,True,True,False,True,0.8610211610794067,0.9132755398750305,0.9132755528944136,33.293695304210615,33.29369354248047,106.0166385983096,106.01663970947266,1.1111630584537124e-06,True,28
41479,ep208:d080,208,80,f33994251545266f732d0b587321e7258dd07b3aedacc3fb65d928313c3fc219,True,True,True,True,False,True,1.2095016241073608,0.880351722240448,0.8803517681889359,24.578601038330074,24.578603744506836,61.359283633505136,61.359283447265625,1.862395109242243e-07,True,25
40019,ep201:d020,201,20,7dd297666e250fe39701be0be50593715d13f6272475a11f8d7f7f42e6845261,True,True,True,True,False,True,2.110065221786499,0.800661027431488,0.8006610661600323,23.64811259709914,23.648113250732422,96.89045910390657,96.89045715332031,1.950586252519315e-06,True,28
57674,ep289:d075,289,75,6c06e5c6e2e101cd803fd24c7d9dd58f21018aa97998afb9cb8ad541609294d5,True,True,True,True,False,True,1.6991556882858276,0.836085855960846,0.8360859004005539,35.27742352441319,35.27742385864258,96.10421540258432,96.10421752929688,2.1267125589474745e-06,True,7
47534,ep238:d135,238,135,a947ab8716459114864bab61beb958e3df121f7a5a6161ac6eb397f449384197,True,True,True,True,False,True,2.3754677772521973,0.7785822749137878,0.7785823523480235,28.531646268509064,28.53164291381836,71.83163518181814,71.83163452148438,6.60333768109922e-07,True,28
44129,ep221:d130,221,130,7e63cc4df76bf4195a0adf35dc78751affa8dfa49ffe1a1ec955a35853b2c4ce,True,True,True,True,False,True,0.13790340721607208,0.9855754375457764,0.9855754707985167,26.2901686776829,26.29016876220703,139.87069944150724,139.87069702148438,2.4200228665449686e-06,True,22
52810,ep265:d011,265,11,1fdc97e4c85f5be87f3ee989d0e503c2b3d4c6bdb39dd9596469c501d65be2a5,True,True,True,True,False,True,1.9077104330062866,0.8179145455360413,0.8179145949781591,32.10273415567028,32.10273361206055,77.48585843346386,77.48585510253906,3.3309247982060697e-06,True,19
54303,ep272:d104,272,104,021def78a7b4a33f8f9e9d47b9e2cab11a1a474d56e60206029691741ea21664,True,True,True,True,False,True,1.206270456314087,0.8806514739990234,0.8806515239694714,33.02981687994339,33.02981948852539,74.84407024521458,74.84407043457031,1.8935573109502002e-07,True,10
53589,ep268:d190,268,190,e4c00e201bb76afd53bc38c095a4764c4255ef86710313bf8866f8d9928a7154,True,True,True,True,False,True,0.9855321645736694,0.9013729095458984,0.9013729508960477,32.49806947111484,32.498069763183594,96.54004892843243,96.54004669189453,2.2365378953281834e-06,True,5
42289,ep212:d090,212,90,3ab652bdc0f2e4d75bcdcf3dceffc0aace023921085f8014753734077fd82078,True,True,True,True,False,True,0.8393247127532959,0.9153656363487244,0.9153656422249159,25.10523733296374,25.105236053466797,92.93715184482566,92.93714904785156,2.79697410121571e-06,True,28
43787,ep219:d188,219,188,8cd23eb490f20685de49c77e1591c94e593f2f0a65b7a863f11d4639aaa61da9,True,True,True,True,False,True,2.1015992164611816,0.8013755083084106,0.8013755605798647,26.02159435024399,26.02159309387207,103.87860398291814,103.87860107421875,2.9086993862392774e-06,True,28
58930,ep295:d131,295,131,ae93db21186cadc091853c7b581ec030566c07f8bb350fd3a0a60f00fc8cba50,True,True,True,True,False,True,0.8311775922775269,0.9161517024040222,0.9161517155202976,36.07309941059736,36.07310104370117,96.46146015304932,96.46145629882812,3.854221191090801e-06,True,17
50287,ep252:d088,252,88,41b1bc36e5d4afc2ceadad30900377e156ab371bcbe1d63eefac94a5df902fc1,True,True,True,True,False,True,1.422857403755188,0.8607828617095947,0.8607828700846674,30.382648468017578,30.382648468017578,149.58226830701915,149.582275390625,7.083605851221364e-06,True,1
53241,ep267:d042,267,42,c6bc3db467dd70c82f2a41d7f0d55d254ea214b91db370071945df0908b54d1f,True,True,True,True,False,True,2.531688928604126,0.765872061252594,0.765872133284216,32.36154343011177,32.361541748046875,93.3793225409827,93.37931823730469,4.303678011297052e-06,True,28
43676,ep219:d077,219,77,8cd23eb490f20685de49c77e1591c94e593f2f0a65b7a863f11d4639aaa61da9,True,True,True,True,False,True,0.30978694558143616,0.9678875803947449,0.9678876017610389,26.021491483063663,26.02149200439453,73.59981885949244,73.59982299804688,4.138554430710428e-06,True,28
49071,ep246:d072,246,72,420663c5210a34e5b9f8de20e36745d0cdbd6e3582be0330fd615139b2bd6a33,True,True,True,True,False,True,0.12140792608261108,0.9872898459434509,0.9872898631148813,29.588232761471108,29.588233947753906,130.716487631511,130.71649169921875,4.067707749300098e-06,True,11
54337,ep272:d138,272,138,021def78a7b4a33f8f9e9d47b9e2cab11a1a474d56e60206029691741ea21664,True,True,True,True,False,True,0.10533719509840012,0.9889629483222961,0.9889629786310137,33.02686470408662,33.02686309814453,91.54368551845056,91.54368591308594,3.946353785977408e-07,True,22
55535,ep278:d136,278,136,c837d032e9e3ec1761feb93a784b4eb26c135966ea12a42076b56a300a3c7799,True,True,True,True,False,True,0.16183938086032867,0.9830930829048157,0.9830930730900761,33.82214738082246,33.822147369384766,119.59215416104644,119.59215545654297,1.295496531383833e-06,True,8
46432,ep233:d033,233,33,5037292780f03b7ec4d11d11e3a03938d40552ae817008819ab891136c97a213,True,True,True,True,False,True,1.9125983715057373,0.8174934387207031,0.8174934809070403,27.874325144535725,27.874326705932617,75.75490857238445,75.75491333007812,4.75769367369594e-06,True,16
50853,ep255:d054,255,54,57e2eab89a347cc70f9ca5ef31cf922b6bcf662ceb4ba25574d4d7c0364769c6,True,True,True,True,False,True,1.0698895454406738,0.8933970928192139,0.8933971016896429,30.780051744946398,30.780048370361328,86.38049209536946,86.3804931640625,1.068693038064339e-06,True,28
49233,ep247:d034,247,34,352555e63287a5cc21c6ff515d8a37549744253d83188470a72a445822e257d1,True,True,True,True,False,True,0.8447809815406799,0.9148395657539368,0.9148395723599058,29.715380180827932,29.715381622314453,101.7019792679316,101.70198059082031,1.3228887070226847e-06,True,28
46216,ep232:d017,232,17,911cc210b30f56ca1521fd15687d3317d4dc5d35fd6df46788bc4b4086a45986,True,True,True,True,False,True,2.14557147026062,0.797671377658844,0.797671423370184,27.740421722242658,27.74042510986328,97.64112999942097,97.64112854003906,1.4593819059882662e-06,True,28
