state_id,trial_id,task_id,action_index,pair,next_task_id,interval_duration_seconds,next_effective_mask_size,next_q_expectation,next_action_q_spread,next_action_q_weighted_std,discount_term,bootstrap_term
trial_000_ep1_task001,0,1,12,"(2, 8)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,13,"(3, 4)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,14,"(3, 5)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,15,"(3, 6)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,16,"(3, 7)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,17,"(3, 8)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,18,"(4, 5)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,19,"(4, 6)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,20,"(4, 7)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,21,"(4, 8)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,22,"(5, 6)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,23,"(5, 7)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,24,"(5, 8)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,25,"(6, 7)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,26,"(6, 8)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task001,0,1,27,"(7, 8)",2,0.0885330633135086,24,36.86214979303451,0.0159912109375,0.003843978017178,0.9907154806006854,36.51990244818064
trial_000_ep1_task002,0,2,2,"(1, 4)",3,0.6688843538058558,7,36.86631257758084,0.0034675598144531,0.0010123126232534,0.9319519695590118,34.357632617054634
