Episode,Task_ID,R_req,rho,actor_score,actor_probability,oracle_reward
1,4,0.999,0.13200981512574034,2.505288600921631,0.2009037286043167,-10.886579362110986
1,4,0.999,0.14310985972357798,2.5125532150268555,0.20207251608371735,-10.886579362110986
1,4,0.999,0.15420990432141563,2.519786834716797,0.20324137806892395,-10.886579362110986
1,4,0.999,0.16530994891925327,2.5269899368286133,0.20441029965877533,-10.886579362110986
1,4,0.999,0.17640999351709094,2.534162998199463,0.20557929575443268,-10.886579362110986
1,4,0.999,0.18751003811492858,2.5413050651550293,0.20674815773963928,-10.886579362110986
1,4,0.999,0.19861008271276623,2.5484166145324707,0.20791693031787872,-10.886579362110986
1,4,0.999,0.20971012731060387,2.555497169494629,0.20908541977405548,-10.886579362110986
1,4,0.999,0.22081017190844152,2.562547206878662,0.21025365591049194,-10.886579362110986
1,4,0.999,0.2319102165062792,2.569566249847412,0.21142151951789856,-10.886579362110986
1,4,0.999,0.24301026110411683,2.576554775238037,0.21258902549743652,-10.886579362110986
1,4,0.999,0.2541103057019545,2.583512783050537,0.21375608444213867,-10.886579362110986
1,4,0.999,0.2652103502997921,2.5904393196105957,0.2149224877357483,-10.886579362110986
1,4,0.999,0.27631039489762976,2.5973353385925293,0.21608835458755493,-10.886579362110986
1,4,0.999,0.2874104394954674,2.6041998863220215,0.2172534167766571,-10.886579362110986
1,4,0.999,0.29851048409330505,2.6110339164733887,0.21841783821582794,-10.886579362110986
1,4,0.999,0.3096105286911427,2.6178369522094727,0.21958141028881073,-10.886579362110986
1,4,0.999,0.32071057328898034,2.6246089935302734,0.22074410319328308,-10.886579362110986
1,4,0.999,0.3318106178868181,2.631350040435791,0.2219058722257614,-10.886579362110986
1,4,0.999,0.34291066248465574,2.6380600929260254,0.22306661307811737,-10.886579362110986
1,4,0.999,0.3540107070824934,2.6447391510009766,0.22422626614570618,-10.886579362110986
1,4,0.9999,0.021009369147363816,2.3111462593078613,0.19141419231891632,-20.88657936211147
1,4,0.9999,0.032109413745201466,2.319000244140625,0.19263271987438202,-20.88657936211147
1,4,0.9999,0.04320945834303912,2.3268251419067383,0.19385263323783875,-20.88657936211147
1,4,0.9999,0.05430950294087677,2.334620952606201,0.19507381319999695,-20.88657936211147
1,4,0.9999,0.06540954753871442,2.3423876762390137,0.19629622995853424,-20.88657936211147
1,4,0.9999,0.07650959213655206,2.3501248359680176,0.19751973450183868,-20.88657936211147
1,4,0.9999,0.08760963673438972,2.357832908630371,0.19874438643455505,-20.88657936211147
1,4,0.9999,0.09870968133222738,2.365511417388916,0.19996997714042664,-20.88657936211147
1,4,0.9999,0.10980972593006502,2.3731608390808105,0.20119653642177582,-20.88657936211147
1,4,0.9999,0.12090977052790267,2.3807802200317383,0.20242388546466827,-20.88657936211147
1,4,0.9999,0.13200981512574034,2.3883700370788574,0.203652024269104,-20.88657936211147
1,4,0.9999,0.14310985972357798,2.395930290222168,0.20488089323043823,-20.88657936211147
1,4,0.9999,0.15420990432141563,2.4034605026245117,0.20611031353473663,-20.88657936211147
1,4,0.9999,0.16530994891925327,2.410961151123047,0.20734034478664398,-20.88657936211147
1,4,0.9999,0.17640999351709094,2.4184317588806152,0.20857080817222595,-20.88657936211147
1,4,0.9999,0.18751003811492858,2.425872325897217,0.20980170369148254,-20.88657936211147
1,4,0.9999,0.19861008271276623,2.4332828521728516,0.21103288233280182,-20.88657936211147
1,4,0.9999,0.20971012731060387,2.4406633377075195,0.21226434409618378,-20.88657936211147
1,4,0.9999,0.22081017190844152,2.4480137825012207,0.21349599957466125,-20.88657936211147
1,4,0.9999,0.2319102165062792,2.455333709716797,0.2147277146577835,-20.88657936211147
1,4,0.9999,0.24301026110411683,2.4626240730285645,0.2159595787525177,-20.88657936211147
1,4,0.9999,0.2541103057019545,2.4698829650878906,0.2171911746263504,-20.88657936211147
1,4,0.9999,0.2652103502997921,2.477112293243408,0.2184228152036667,-20.88657936211147
1,4,0.9999,0.27631039489762976,2.484311103820801,0.21965424716472626,-20.88657936211147
1,4,0.9999,0.2874104394954674,2.49147891998291,0.22088532149791718,-20.88657936211147
1,4,0.9999,0.29851048409330505,2.4986166954040527,0.2221161425113678,-20.88657936211147
1,4,0.9999,0.3096105286911427,2.5057239532470703,0.2233465611934662,-20.88657936211147
1,4,0.9999,0.32071057328898034,2.512800693511963,0.22457653284072876,-20.88657936211147
1,4,0.9999,0.3318106178868181,2.5198469161987305,0.22580595314502716,-20.88657936211147
1,4,0.9999,0.34291066248465574,2.5268616676330566,0.22703459858894348,-20.88657936211147
1,4,0.9999,0.3540107070824934,2.533846378326416,0.22826267778873444,-20.88657936211147
6,4,0.9,0.021009369147363816,2.650294303894043,0.18064039945602417,43.74889149233469
