state_id,trial_id,task_id,requirement,load_tertile,safe_set_size,reference_action,alternative_action,initial_peak_queue_difference_seconds,peak_step,half_life_50_steps,half_life_25_steps,half_life_10_steps,right_censored
trial_000_ep1_task016,0,16,0.99,low,28,5,26,0.0,1,,,,False
trial_000_ep1_task016,0,16,0.99,low,28,5,27,0.0,1,,,,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,0,0.0,1,,,,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,1,0.0,1,,,,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,2,3.1739637084617547,1,2.0,2.0,2.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,4,0.0,1,,,,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,5,2.423723587474086,1,2.0,2.0,2.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,7,0.3769779266290634,2,3.0,3.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,8,3.1739637084617547,1,2.0,2.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,9,1.0565526834215522,2,4.0,4.0,4.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,10,0.3769779266290634,2,3.0,3.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,11,2.423723587474086,1,2.0,2.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,12,0.3769779266290634,2,3.0,3.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,13,3.1739637084617547,1,2.0,2.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,14,1.0565526834215522,2,4.0,4.0,4.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,15,0.3769779266290634,2,3.0,3.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,16,2.423723587474086,1,2.0,2.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,17,0.3769779266290634,2,3.0,3.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,18,3.1739637084617547,1,2.0,3.0,4.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,19,3.1739637084617547,1,2.0,2.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,20,5.597687295935841,1,2.0,2.0,2.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,21,3.1739637084617547,1,2.0,2.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,22,1.0565526834215522,2,4.0,4.0,4.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,23,2.423723587474086,1,2.0,4.0,4.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,24,1.0565526834215522,2,4.0,4.0,4.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,25,2.423723587474086,1,2.0,2.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,26,0.3769779266290634,2,3.0,3.0,3.0,False
trial_000_ep1_task019,0,19,0.9,medium,27,6,27,2.423723587474086,1,2.0,2.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,0,1.422849053951289,1,2.0,2.0,2.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,1,1.2226719176254477,1,2.0,2.0,2.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,2,0.6882982068019308,1,2.0,2.0,2.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,3,1.1674974388857624,1,2.0,2.0,2.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,4,0.28201975969782556,1,2.0,2.0,2.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,5,0.10024356244803201,1,2.0,2.0,2.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,7,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,8,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,9,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,10,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,11,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,12,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,13,2.803476006586866,2,3.0,3.0,3.0,False
trial_000_ep1_task021,0,21,0.9,medium,28,6,14,2.803476006586866,2,3.0,3.0,3.0,False
