trial_id,policy,metric,old_value,rerun_value,absolute_diff,match
2,Safe Min-Latency,maximum_server_utilization,0.3932698915959617,0.3932698915959617,0.0,True
3,Safe Min-Latency,maximum_server_utilization,0.382714404782797,0.382714404782797,0.0,True
4,Safe Min-Latency,maximum_server_utilization,0.3828274488298799,0.3828274488298799,0.0,True
5,Safe Min-Latency,maximum_server_utilization,0.3954730675922501,0.3954730675922501,0.0,True
6,Safe Min-Latency,maximum_server_utilization,0.3833350356885028,0.3833350356885028,0.0,True
7,Safe Min-Latency,maximum_server_utilization,0.3789784161977597,0.3789784161977597,0.0,True
8,Safe Min-Latency,maximum_server_utilization,0.3869199116939666,0.3869199116939666,0.0,True
9,Safe Min-Latency,maximum_server_utilization,0.3862756566850967,0.3862756566850967,0.0,True
0,Safe Min-Latency,maximum_mean_queue_length,0.091311879765735,0.091311879765735,0.0,True
1,Safe Min-Latency,maximum_mean_queue_length,0.0826671062152911,0.0826671062152911,0.0,True
2,Safe Min-Latency,maximum_mean_queue_length,0.0814288306392054,0.0814288306392054,0.0,True
3,Safe Min-Latency,maximum_mean_queue_length,0.0828063398942639,0.0828063398942639,0.0,True
4,Safe Min-Latency,maximum_mean_queue_length,0.0762851957451155,0.0762851957451155,0.0,True
5,Safe Min-Latency,maximum_mean_queue_length,0.0886403523441422,0.0886403523441422,0.0,True
6,Safe Min-Latency,maximum_mean_queue_length,0.0732389490035144,0.0732389490035144,0.0,True
7,Safe Min-Latency,maximum_mean_queue_length,0.0793513332198254,0.0793513332198254,0.0,True
8,Safe Min-Latency,maximum_mean_queue_length,0.0807257426252435,0.0807257426252435,0.0,True
9,Safe Min-Latency,maximum_mean_queue_length,0.0763937981495129,0.0763937981495129,0.0,True
0,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
1,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
2,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
3,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
4,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
5,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
6,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
7,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
8,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
9,Safe Min-Latency,maximum_p95_queue_length,1.0,1.0,0.0,True
0,Safe Min-Latency,mean_server_waiting_time,0.2265356421495607,0.2265356421495607,0.0,True
1,Safe Min-Latency,mean_server_waiting_time,0.2194575303477568,0.2194575303477568,0.0,True
2,Safe Min-Latency,mean_server_waiting_time,0.2312852281189183,0.2312852281189183,0.0,True
3,Safe Min-Latency,mean_server_waiting_time,0.2524771946087332,0.2524771946087332,0.0,True
4,Safe Min-Latency,mean_server_waiting_time,0.2598725429791358,0.2598725429791358,0.0,True
5,Safe Min-Latency,mean_server_waiting_time,0.2201400326847887,0.2201400326847887,0.0,True
6,Safe Min-Latency,mean_server_waiting_time,0.2270469116014584,0.2270469116014584,0.0,True
7,Safe Min-Latency,mean_server_waiting_time,0.2404927255140329,0.2404927255140329,0.0,True
8,Safe Min-Latency,mean_server_waiting_time,0.2606818504406566,0.2606818504406566,0.0,True
9,Safe Min-Latency,mean_server_waiting_time,0.2006487424275553,0.2006487424275553,0.0,True
0,Masked PPO stochastic,mean_reward,60.55369681812354,60.55369681812354,0.0,True
1,Masked PPO stochastic,mean_reward,61.77776491377688,61.77776491377688,0.0,True
2,Masked PPO stochastic,mean_reward,60.59948446595163,60.59948446595163,0.0,True
3,Masked PPO stochastic,mean_reward,60.82596312725253,60.82596312725253,0.0,True
4,Masked PPO stochastic,mean_reward,61.89701687390434,61.89701687390434,0.0,True
5,Masked PPO stochastic,mean_reward,61.41212309869239,61.41212309869239,0.0,True
6,Masked PPO stochastic,mean_reward,61.27887790795619,61.27887790795619,0.0,True
7,Masked PPO stochastic,mean_reward,62.54022229614039,62.54022229614039,0.0,True
8,Masked PPO stochastic,mean_reward,61.10400267624844,61.10400267624844,0.0,True
9,Masked PPO stochastic,mean_reward,62.30216503836733,62.30216503836733,0.0,True
0,Masked PPO stochastic,mean_latency,2.0214231522299118,2.0214231522299118,0.0,True
1,Masked PPO stochastic,mean_latency,1.9947217306645169,1.9947217306645169,0.0,True
2,Masked PPO stochastic,mean_latency,2.004543715790942,2.004543715790942,0.0,True
3,Masked PPO stochastic,mean_latency,2.024229400940285,2.024229400940285,0.0,True
4,Masked PPO stochastic,mean_latency,2.0186603089588715,2.0186603089588715,0.0,True
5,Masked PPO stochastic,mean_latency,2.000493183586977,2.000493183586977,0.0,True
6,Masked PPO stochastic,mean_latency,2.0185708145064973,2.0185708145064973,0.0,True
7,Masked PPO stochastic,mean_latency,2.00216210579365,2.00216210579365,0.0,True
8,Masked PPO stochastic,mean_latency,2.006335342784879,2.006335342784879,0.0,True
9,Masked PPO stochastic,mean_latency,2.0159210399026364,2.0159210399026364,0.0,True
0,Masked PPO stochastic,p50_latency,1.9650437059567167,1.9650437059567167,0.0,True
1,Masked PPO stochastic,p50_latency,1.9488527919060343,1.9488527919060343,0.0,True
2,Masked PPO stochastic,p50_latency,1.964890229284464,1.964890229284464,0.0,True
3,Masked PPO stochastic,p50_latency,1.970155737637356,1.970155737637356,0.0,True
4,Masked PPO stochastic,p50_latency,1.9575082193838045,1.9575082193838045,0.0,True
5,Masked PPO stochastic,p50_latency,1.973657550068438,1.973657550068438,0.0,True
6,Masked PPO stochastic,p50_latency,1.9667104167755485,1.9667104167755485,0.0,True
7,Masked PPO stochastic,p50_latency,1.9564873090121324,1.9564873090121324,0.0,True
8,Masked PPO stochastic,p50_latency,1.95444667843708,1.95444667843708,0.0,True
9,Masked PPO stochastic,p50_latency,1.9556495884978489,1.9556495884978489,0.0,True
0,Masked PPO stochastic,p90_latency,3.171451280879728,3.171451280879728,0.0,True
1,Masked PPO stochastic,p90_latency,3.120254550879394,3.120254550879394,0.0,True
2,Masked PPO stochastic,p90_latency,3.1175841014778825,3.1175841014778825,0.0,True
3,Masked PPO stochastic,p90_latency,3.1769637190787705,3.1769637190787705,0.0,True
4,Masked PPO stochastic,p90_latency,3.138991470250357,3.138991470250357,0.0,True
5,Masked PPO stochastic,p90_latency,3.109329766840247,3.109329766840247,0.0,True
6,Masked PPO stochastic,p90_latency,3.143342361201661,3.143342361201661,0.0,True
7,Masked PPO stochastic,p90_latency,3.141662871190151,3.141662871190151,0.0,True
8,Masked PPO stochastic,p90_latency,3.117569862220233,3.117569862220233,0.0,True
9,Masked PPO stochastic,p90_latency,3.165309902168332,3.165309902168332,0.0,True
0,Masked PPO stochastic,p95_latency,3.684334382344083,3.684334382344083,0.0,True
1,Masked PPO stochastic,p95_latency,3.5824872743383978,3.5824872743383978,0.0,True
2,Masked PPO stochastic,p95_latency,3.511721600659995,3.511721600659995,0.0,True
3,Masked PPO stochastic,p95_latency,3.622861964037744,3.622861964037744,0.0,True
4,Masked PPO stochastic,p95_latency,3.595003047634219,3.595003047634219,0.0,True
5,Masked PPO stochastic,p95_latency,3.573257693271728,3.573257693271728,0.0,True
6,Masked PPO stochastic,p95_latency,3.591429896579541,3.591429896579541,0.0,True
7,Masked PPO stochastic,p95_latency,3.5943579689825014,3.5943579689825014,0.0,True
8,Masked PPO stochastic,p95_latency,3.657479395725673,3.657479395725673,0.0,True
9,Masked PPO stochastic,p95_latency,3.593144656350185,3.593144656350185,0.0,True
0,Masked PPO stochastic,overall_rsr,0.95675,0.95675,0.0,True
1,Masked PPO stochastic,overall_rsr,0.97425,0.97425,0.0,True
2,Masked PPO stochastic,overall_rsr,0.9575,0.9575,0.0,True
3,Masked PPO stochastic,overall_rsr,0.9655,0.9655,0.0,True
4,Masked PPO stochastic,overall_rsr,0.983,0.983,0.0,True
5,Masked PPO stochastic,overall_rsr,0.9715,0.9715,0.0,True
6,Masked PPO stochastic,overall_rsr,0.97525,0.97525,0.0,True
7,Masked PPO stochastic,overall_rsr,0.9875,0.9875,0.0,True
8,Masked PPO stochastic,overall_rsr,0.96625,0.96625,0.0,True
9,Masked PPO stochastic,overall_rsr,0.98975,0.98975,0.0,True
0,Masked PPO stochastic,highest_rsr,0.827,0.827,0.0,True
1,Masked PPO stochastic,highest_rsr,0.897,0.897,0.0,True
2,Masked PPO stochastic,highest_rsr,0.83,0.83,0.0,True
3,Masked PPO stochastic,highest_rsr,0.862,0.862,0.0,True
4,Masked PPO stochastic,highest_rsr,0.932,0.932,0.0,True
5,Masked PPO stochastic,highest_rsr,0.886,0.886,0.0,True
6,Masked PPO stochastic,highest_rsr,0.901,0.901,0.0,True
7,Masked PPO stochastic,highest_rsr,0.95,0.95,0.0,True
8,Masked PPO stochastic,highest_rsr,0.872,0.872,0.0,True
9,Masked PPO stochastic,highest_rsr,0.959,0.959,0.0,True
0,Masked PPO stochastic,feasibility_rate,0.95675,0.95675,0.0,True
1,Masked PPO stochastic,feasibility_rate,0.97425,0.97425,0.0,True
2,Masked PPO stochastic,feasibility_rate,0.9575,0.9575,0.0,True
3,Masked PPO stochastic,feasibility_rate,0.9655,0.9655,0.0,True
4,Masked PPO stochastic,feasibility_rate,0.983,0.983,0.0,True
5,Masked PPO stochastic,feasibility_rate,0.9715,0.9715,0.0,True
6,Masked PPO stochastic,feasibility_rate,0.97525,0.97525,0.0,True
7,Masked PPO stochastic,feasibility_rate,0.9875,0.9875,0.0,True
8,Masked PPO stochastic,feasibility_rate,0.96625,0.96625,0.0,True
9,Masked PPO stochastic,feasibility_rate,0.98975,0.98975,0.0,True
0,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
1,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
2,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
3,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
4,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
5,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
6,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
7,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
8,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
9,Masked PPO stochastic,conditional_rsr,1.0,1.0,0.0,True
0,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
1,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
2,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
3,Masked PPO stochastic,avoidable_violation_count,0.0,0.0,0.0,True
