trial_id,policy,tasks,mean_reward,mean_latency,p50_latency,p90_latency,p95_latency,overall_rsr,highest_rsr,feasibility_rate,conditional_rsr,conditional_rsr_defined,avoidable_violation_count,avoidable_violation_rate,unavoidable_violation_count,unavoidable_violation_rate,mean_selected_reliability_deficit,p95_selected_reliability_deficit,mean_best_achievable_deficit,p95_best_achievable_deficit,mean_safe_set_size,pair_selection_hhi,pair_selection_entropy,top1_pair_frequency,unique_selected_pairs,pair_78_frequency,maximum_server_selection_share,maximum_server_utilization,maximum_mean_queue_length,maximum_p95_queue_length,mean_server_waiting_time
5,Pair PPO stochastic,4000,56.71448175307759,1.9780739896499548,1.9360494390307397,3.048275035297121,3.511878421119948,0.89075,0.615,0.9715,0.9168811116829645,True,323,0.08311888831703551,114,0.0285,8.060184487572588e-05,0.00026524638006237796,2.6877917574337495e-06,0.0,21.52125,0.124057625,2.4496008256772477,0.2135,28,0.2135,0.287,0.3697991339927687,0.1347133589783206,1.0,0.26807609921260206
6,Pair PPO stochastic,4000,57.869500973288304,2.0179009560603856,1.9775891175898295,3.1512670087558323,3.5918970830789223,0.913,0.679,0.97525,0.9361702127659575,True,249,0.06382978723404255,99,0.02475,2.7903023698720775e-05,0.00010673111935413068,1.9934967018713223e-06,0.0,21.96725,0.1559665,2.234916862830726,0.2915,28,0.2915,0.29575,0.4263499289150196,0.1974928565261993,1.0,0.25292030082752687
7,Pair PPO stochastic,4000,58.73501091536344,1.9965289882543846,1.95444667843708,3.1167761459095913,3.570558738339741,0.92575,0.72,0.9875,0.9374683544303798,True,247,0.06253164556962025,50,0.0125,3.078141617298755e-05,8.140479795118394e-05,9.017043428108384e-07,0.0,22.172,0.151311,2.2501141348500107,0.27225,28,0.27225,0.307375,0.3994120355653651,0.1642099830846758,1.0,0.25953981728083714
8,Pair PPO stochastic,4000,57.027716994139794,1.9984802948559308,1.9500208547212596,3.099277201335741,3.6053436830378898,0.89675,0.636,0.96625,0.9280724450194049,True,278,0.07192755498059508,135,0.03375,7.168661540921742e-05,0.00022916023953620796,7.6154063505143865e-06,0.0,21.60325,0.140419875,2.318565424542437,0.245,27,0.245,0.29575,0.398504478779901,0.1612176632967173,1.0,0.251790732426704
9,Pair PPO stochastic,4000,58.30286979071209,1.9812231741599362,1.9294866659363805,3.0878724385278677,3.477600117336774,0.9115,0.682,0.98975,0.9209396312200051,True,313,0.07906036877999495,41,0.01025,6.778147611704918e-05,0.00015780565024197616,2.4919965617503645e-07,0.0,22.111,0.13603149999999997,2.3643791611478315,0.2525,28,0.2525,0.302875,0.4425700964393202,0.2045126485996673,1.0,0.23795154626566187
0,Safe Min-Latency,4000,64.67208297229865,1.85199155616718,1.8364239685339356,2.8350189186446073,3.1653099021683317,0.95675,0.827,0.95675,1.0,True,0,0.0,173,0.04325,4.735685939346868e-06,0.0,4.735685939346868e-06,0.0,20.9215,0.081664875,2.7113697782102846,0.1755,27,0.1755,0.298125,0.3856139139336006,0.09131187976573507,1.0,0.22653564214956073
1,Safe Min-Latency,4000,65.80624468290765,1.843264976811387,1.7947845699724212,2.8350189186446073,3.143342361201661,0.97425,0.897,0.97425,1.0,True,0,0.0,103,0.02575,1.5852536645366845e-06,0.0,1.5852536645366845e-06,0.0,21.58975,0.079294375,2.721474662941847,0.163,25,0.163,0.294125,0.39625110361423366,0.0826671062152911,1.0,0.21945753034775684
2,Safe Min-Latency,4000,64.78873655817024,1.8468500138066184,1.8076577028323015,2.8265712935369165,3.125597087487993,0.9575,0.83,0.9575,1.0,True,0,0.0,170,0.0425,4.157306232136504e-06,0.0,4.157306232136504e-06,0.0,20.92725,0.081038625,2.7438960070657386,0.17825,27,0.17825,0.29125,0.39326989159596176,0.08142883063920542,1.0,0.23128522811891838
3,Safe Min-Latency,4000,65.26720987866372,1.8492765122675614,1.8076577028323015,2.8350520981221266,3.143342361201661,0.9655,0.862,0.9655,1.0,True,0,0.0,138,0.0345,2.3911473917243296e-06,0.0,2.3911473917243296e-06,0.0,21.56875,0.079184375,2.7256097360057936,0.15925,27,0.15925,0.29675,0.38271440478279706,0.08280633989426393,1.0,0.2524771946087332
4,Safe Min-Latency,4000,66.14770884605954,1.847830030218144,1.8076577028323015,2.8235896603175843,3.158664461681491,0.983,0.932,0.983,1.0,True,0,0.0,68,0.017,8.170143862480383e-07,0.0,8.170143862480383e-07,0.0,22.13625,0.07737362500000002,2.749915754813114,0.1605,27,0.1605,0.296375,0.38282744882987996,0.07628519574511557,1.0,0.25987254297913587
